quote_text,response_text,relation
"The only cited reference is the poll release from Siena itself, so noteworthiness can be legitimately questioned.",I would say that doesn't belong in this article either.,2
"I'm so, so sorry, Beth.","I'm so sorry, Beth.",2
The first was insensitive comments about people with AS and a following discussion that did not cite any sources nor did it concern itself with the rewording/improvement of article text.,"It is agreed, citations are needed that conform to medical; I was merely proposing something and I get cybermugged.",2
"The Doctor and Wilf's interactions made up for some of the confusion, as did seeing the Master in women's clothing","I agree, the Doctor and Wilf scenes helped a lot.",2
RTD has some serious explaining to do because part one was one big clusterfuck of story lines.,"Yeah, I don't know.",2
"Live, and let fucking live.",as if their happiness is harmful.,2
"Canon provide an overall better photography system, from body to sensor to optics (canon Lseries lenses are something out of this world).",I'll second the Canon recommendation (and I'm a Nikon guy).,2
Cute kitty :-D,OMG the cute is overwhelming!,2
I especially like the environment in this one!,"The whole thing is gorgeous, but I especially love the details on her dress and the crashing waves.",2
And many Christians self-identify as Christian with the concomitant understanding that Christianity is the ''one true faith'' and the only path to salvation.,I'm actually in agreement myself.,2
"I've heard the argument that the film sugarcoats slavery, and being a Disney movie I don't see how it couldn't, but I'm betting Song of the South is much less Rascist than Gone with the Wind, and not nearly as bad as Birth of a Nation, but every film student is forced to watch those pieces of crap at least once.","It's not ever overtly offensive or in any way compelling durring the live segments, but Remus does look tweeked out of his gord durring Zippadee Doo Dah and whenever the little boy cries his transforms into the vissage of a demon.",2
lol she's so funny XD,Hahhahah.,2
Also feel free to tell future generations that network television started to die the day they gave Leno a prime time talk show.,Agreed one thousand percent.,2
Its real good.,Amen...,2
"...I really should go see about getting into NKU and going into art history, shouldn't I.","IMO, art history > actual history, sometimes.",2
i'm going to drop either buddism or political philosophy.,"(Good call on dropping one of them, though.",2
"Maybe one could ignore it for awhile, but boredness with the lack of intelligence would set in sooner or later.","Intelligence and beauty are certainly plusses, but when it comes right down to it, what I'm really looking for is someone who's kind, honest, sincere, trustworthy, loyal, and who loves me.",2
they do!,"Oh, no, I know they do.",2
"It's the subsection title that is the real problem, and I do agree that it should be renamed - e.g. Viewing Religions as Dangerous.","Griswaldo has suggested ''Viewing religions as dangerous'' may be a better title, and I would agree.",2
'Fraid I exhausted them.,I think you exhausted their minds more than their bodies.*g* They are used to physical exertion (basketball & track are tiring).,2
Yeah for some reason we all slept really early last night.,It was indeed one of those nights for me too...,2
"It's not quite correct to treat the Earth as a blackbody, since the atmosphere has a confounding effect - we might say that the Earth acts as a blackbody above the level of the atmosphere, but actually the amount of radiation emitted is inconsistent with the surface temperature of earth.","You are right, the earth is not really a blackbody.",2
An important milestone has presently been announced in that the Vatican now concedes that Islam has overtaken it in size according to 2006 figures.,"I agree that this new information, although interesting, should be left out of the article because comparing Roman Catholicism with Islam is comparing apple and oranges.",2
With regard to,Agreed.,2
"As it stands, I would accept ''the regularity of his initiations with the United Grand Lodge of England has been disputed by some'' as a safely NPOV compromise.",I agree that there is a problem and I thank you for pointing this out.,2
"To my understanding, if medical consensus supports some hypothesis based on verifying experiments and overwhelming amounts of empirical evidence, then that notion is considered a scientific fact.","As Emw says, the notion that HIV causes AIDS is supported by overwhelming amounts of evidence and is not disputed within legitimate scientific literature.",2
"She had pancreatic cancer, and she was wasting away.","It was probably for the best, though I know it doesn't make it hurt any less.",2
"I am so, so, sorry, my dear.",Condolences.,2
"Nothing I can really say, my love to you both.",hugs for you both.,2
"Just merging the Topics text up to the lead and promoting its subheadings would also work, as I am not sure what heading would be appropriate; and Idiosyncratic ideas should probably be sorted and merged up, anyway.",That sounds like an intriguingly nice way to simplify the levels we're using.,2
I think something definitely deserves to be there in the lead.,I agree; ending with just landmarks is bland.,2
A double standard is being applied to this article and other articles about Africans.,"I agree. 'Black,' should be a disambiguation entry that notes the word is often used informally to refer to Africans, Asians, Pacific Islanders, and Australian Aboriginals, and redirects to those articles.",2
yuck.,especially dresses.,2
or would we have to delete all sources older than 6 months ago?,"I'll admit that is funny, and also quite correct.",2
You don't really need someone to save you.,"you can be strong, and sometimes you might have to be.",2
Two sentences do not warrant an individual section.,"Yeah, especially the whole thing's starting to die down a bit.",2
I guess you don't approve of a source that is geared to young adults like those who attend Universities?,You guessed right.,2
Good luck!,"Good luck on exams, and I hope you feel better soon!",2
It's really pretty!!!!!!,How pretty!,2
I choose plain and utterly brilliant because sparkling conversations and learning is smexy.,"All other things being equal, I'd take the intelligent plain one over the dumb beauty.",2
Great to see you back!,It's great to see you back.,2
I took a bite and had to stop myself from yelling ''oh my god that tastes like pussy'',I hate the taste of Bison.,2
"I'm guessing the anon is misreading the 2004 senate race section; the sentence declares that Braun was Fitzgerald's predecessor, not Obama's.",My guess as well.,2
Longest 15 seconds of my life!,craaazy.,2
"The suggested changed text also indicates that the genocide continued after 1918,and also explains that ''Great Calamity'' is a phrase that is only used internally by the Armenian communuty.",So while I appreciate (and agree with) the points you are trying to make - lets not fall into the trap of accepting (essentially) denialist (and false) terminology.--,2
