"quote_text","response_text","relation"
"current.com is Current TV, so I don't know how you can support that statement.","Uhm, you don't know how I can support that, really? Did you notice community.current.com? Did you notice ''keithponder added this'' or Source: Youtube? - I don't know what it is about this article and the suspension of rational thought but it is starting to freak me out.","0"
"This discussion about the use of the word ''deportations'' is over as far as I am concerned.","And I certainly don't regard the discussion as closed just because you say so and I think others need to weigh in on this.","0"
"As phenomena on Earth clearly do work (which requires energy), a part of the energy is not lost into space but rather does work on Earth.","On average, the temperature of the earth is not increasing, and that's a sure sign that the energy it takes in from the sun is eventually emitted into space (as radiation at longer wave-lengths).","0"
"The current sentence says ''The Sun provides a large amount of energy to the Earth, and this flow of heat results in huge increases in entropy'' - which is true but it ignores the fact that the earth is emitting all of this energy back into space.","As phenomena on Earth clearly do work (which requires energy), a part of the energy is not lost into space but rather does work on Earth.","0"
"That was really obnoxious!","I thoroughly enjoyed it, less for the whinging and more for the astute observations of Hollywood culture.","0"
"Snare, after a few minutes of no oxygen a persons brain cells start to irreversibly go bye bye.","The brain does not function when there is no blood pressure, but nor do cells ''go bye bye'' in a few minutes either.","0"
"Again, you seem to have already decided for yourself what you think atheism is.","''you seem to have already decided for yourself what you think atheism is'' - I would say that my understanding of atheism seems wholly supported by the majority of sources presented, I would have to ask why it is that your understanding is different.","0"
"Some editors at Astrology believe that it is appropriate to add the following criticism of a peer-reveiwed study in Nature: [[4]]): ''Criticisms of Carlson's study have been published in numerous astrological and other fringe journals.","RfC comment: Oppose inclusion of the proposed changes as phrased.","0"
"The fact that a book was published 30 years ago is irrelevant.","No, date of publication is not irrelevant.","0"
"You said: A frame is just a class of coordinate systems, and explain what he means when he says you ''get'' a certain force in a certain frame but you do or do not ''get'' the same force in certain coordinate systems within that frame. It means you're talking about a different situation than scoped by this article.- (","No, you misunderstood the question. Again, the question is: What do YOU (Wolfkeeper) mean when you say you ''get'' a certain force in a certain frame?","0"
"Ros is new to Wikipedia, and, thus, is probably unfamiliar with its intent.","Ros Power, you are just another twat pushing his POV here.","0"
"Currently there are listed a wealth of sources which seem to support that atheism is indeed dogmatic - no matter if some people may have called themselves atheists without understanding what the word actually meant.","Or, indeed, ''no matter'' if some people may have called other people atheists without understanding what the word actually meant.","0"
"The Gaza population density is 4118/km2 which is ranked the 2nd densest urban area in the world.","Compared to other cities and urban areas around the world, there's nothing special about Gaza.","0"
"Unclear is the pronunciation of s, x, z.","If there's no problem with the affricates, then there's no problem with the fricatives, since they have the same place of articulation.","0"
"What you initially proposed is that we include negative facts about Obama for the sake of including negative facts, which is not criticism at all.","I never said that we should include negative facts for the sake of including them.","0"
"I know this is a touchy area, and ''Negro'' is also a word which is considered offensive for historical reasons, however I think we need a better title, and one that corresponds better with ''African Americans''...","One issue with changing the title to reflect African origin is that not all groups labeled ''black'' are connected to Africa. The last sentence of the intro reads: Other definitions of the term Black extend to any of the populations characterized by dark skin, a definition that also includes certain populations in Oceania, Southeast Asia.[1][2].","0"
"I think it's fair to say that neither is ''better'', but it's interesting to see the way the different approaches go.","I understand the point, but I think Apple's ''making the fonts look nice'' make the fonts look terrible.","0"
"I don't know if you did this on purpose but you definetely followed frank miller's ''draw 7 bricks and they will get the idea'' theory.","I believe you mean Will Eisner's ''draw 7 bricks'' theory.","0"
"The point is that the most common viewpoint and the one basic to the view of such texts as Taylor and of Arnol'd and of Landau and Lifshitz and of Whittiker is the one based upon centrifugal forces that vanish in a non-rotating frame, and are present in a rotating frame.","Brews, there seems to be something wrong about your remark that: ''The point is that the most common viewpoint and the one basic to the view of such texts as Taylor and of Arnol'd and of Landau and Lifshitz and of Whittiker is the one based upon centrifugal forces that vanish in a non-rotating frame, and are present in a rotating frame.","0"
"i mean who wants to read about my life, it's boring...","I mean, I do really like the pictures because I'm more visually oriented, and I am happy that you'll be posting more photos, but I like to read about your life too.","0"
"You originally said you deleted because the claim was not in Scott's paper.","It's place in the source is clear only to someone who has the full source in front of them; Scott's assertion about the end of Canada's Dominion status coming on 7 September 1939 certainly isn't in the link you provided. Regardless, the claim was presented in the article not as Scott's theory but as a widely accepted fact. I think the claim is audacious precisely because I've seen no other sources say anything even remotely similar.","0"
"Their designation had nothing to do with elections status or democracy in the PA, and so should not change due to the elections.''you're going to justify dropping bombs on city centers and in the middle of civilian populations by saying they're ''military targets''???'' Don't twist my words.","I DID NOT ''twist your words''.","0"
"Whatever.","I never accused you of racism.","0"
"I didn't know we edit-war our way into this.","No one is edit warring.","0"
"However, I can understand their motivations, in that they are wishing to ''humanize'' and ''personalize'', abortion, and one of the more functional tactics in that effort has been using shock images.","(I dispute that this is a ''functional'' tactic, as you put it; for various reasons, it almost invariably backfires on the anti-abortionist who presents the image.","0"
"The pertinence of the quotation is that centrifugal force can injure you, and mathematical shuffling of terms from one side of an equation to the other hardly captures the reality.","No, that's completely wrong.","0"
"As a speaker of Hiberno-English I can assure you the term British Isles is a common term for these islands.","Where is your evidence that this term ''British Isles'' is used in Hiberno-English? (minus Ulster English; even then, the Irish nationals who speak Ulster English would be even more inclined never to use the term due to the political situation in the North.) From my experience, I know no one who would use the term to refer to Ireland and Britain. To associate the term British with Ireland is largely unheard of in Ireland. It baffles me that you use it. How about you give ME evidence to prove otherwise?","0"
"If ''the'' ''consensus definition'' does not include the actual position of those who it purports to describe, then it's a worthless false consensus.","It doesn't purport to describe people who call themselves atheists, it describes people who are atheists. Your argument is like saying that if a group of ~100 IQ people go around calling themselves geniuses that we should rush to embrace a definition of genius == 100 IQ.","0"
"I am arguing that historians of capitalism would disagree with you: you can have capitalism without ''free'' markets, because ''free markets'' have never existed. There has always been government ''interference'' or regulation in markets, either to the benefit of business, labour, environment or whatever. Historical fact.","What do you mean free markets have never existed?","0"
"The firing of rockets seems to me to be a desperate measure to resist an ongoing occupation that has imposed a blockade with catastrophic consequences for the Palestinian people.","Two words - suicide bombers.","0"
"It is a complicated topic. Anyone who admits how complex it is, will, I think, ind out current introduction pretty reasonable and not overly long.","It's not that complicated. The definition is rather simple: an economic system where production is primarily directed by the owners of capital. That's all there is to it. The rest follows from there.","0"
"I read this section on the reasoning for not creating a ''personal life'' section and still don't see why a personal life section has not been created.","Subjects such as MJ and Rihanna are limited exceptions to the vast majority of BLPs, but I maintain that a focus on those issues through personal life section detracts the encyclopedia from its main purpose to report on their primary notability.","0"
"Emphasizing private ownership of capital is hardly glorifying; indeed, it is Marx's number one point.","As for private property, I disagree with Marx, changing which entity legally owns the means of production does not necessarily change the underlying mode of production. The PRC's or Singapore's large state sectors are evidence enough of this, although they are publicly owned, they still operate for a profit and often reinvest this profit into the economy, the wage-system (which Marx considered to be a defining feature of capitalism) still remains in place as workers are still exploited in the Marxian sense (China is described as capitalist or state capitalist by non-socialist and non-Marxist commentators and political scientists).","0"
"(and where exactly - outside of the Ottoman Empire - were they allegedly deported to?) IMO (based on review of the scholarly/historical analysis) the word/term ''deportation'' is in fact a catch phrase of genocide deniers who attempt to minimize what actually occured - as there was no deportation (but instead what occured was uprooting [mass ethnic cleansing - if you will] of the native population and forced starvation and massacre through direct and indirect means - ie.","I've not used the phrase ''out of the Ottoman Empire'', nor have I used the word ''resettlement'', so I don't see what your objection to my proposed change is grounded on (or if indeed it is an objection)?","0"
"The new English reformation paragraph could readYou still get the message that Catholics were persecuted and that some Protestants were persecuted, but without unnecessary details that swing it toward pro-Catholic POV.","Changing it will make it POV anti-Catholic and factually lacking.","0"
"So the IMDB says Rihanna The Queen Of The R&B...","IMDB is not a reliable source.","0"
"Then go cram your twisted views of the bible down someone elses throat (yes they are twisted.","And I never ''crammed my twisted veiws down your throat'', I simply told you that I was right and you were wrong.","0"
"Oppose To using this phrasing or another, per the reasons I have given previously.","Some editors at Astrology believe that it is appropriate to add the following criticism of a peer-reveiwed study in Nature: [[4]]): ''Criticisms of Carlson's study have been published in numerous astrological and other fringe journals.","0"
"I will also note that Brews' identification of other viewpoints with Lagrangian formalism is skewed, and shows that he still does not understand the other points of view described in the numerous reputable references that have been cited here.","Please support your statement that my view is skewed.","0"
"Consider bread production in the U.S. That's a free market. The government doesn't tell the producers how much to produce and what to charge. In other words, it's ''unregulated.'' The government doesn't regulation production and consumption. That is, bread market is a free market. There is no such thing as a capitalist system where there are no free markets. The distinguishing characteristic is free markets.","Take an authorative historian of capitalism and you'll see that capitalism most certainly exists without free markets. Even your bread market is regulated for food safety, quality control, price subsidies to farmers and so on - far from ''free''. But let's say that even if a free market could exist, it doesn't mean that we should make the definition of capitalism so narrow that it excludes cases where markets are regulated or ''interfered in'' by the state.","0"
"This should be inserted prominently in the first paragraph, however, I suspect this may engender controversy, so I make the proposal here pending communal approval.","I agree that this new information, although interesting, should be left out of the article because comparing Roman Catholicism with Islam is comparing apple and oranges.","0"
"However, it should not falsely suggest that this is the ''standard solution'' of classical mechanics - that is out of context!","If you still think the quote is out of context, say why with quotes of your own.","0"
"Philosophical discussions will often lack (or include bias-selected) empirical data -- I could cite examples within this very article -- but that doesn't make them ''unreliable'' or unworthy of inclusion.","Prominent atheists like Harris, Russel etc are perfectly suitable for the subject matter of this article.","0"
