"quote_text","response_text","relation"
"Well, the positive atheism stuff is probably okay to be restored as well, but I'm a little uncomfortable with the sourcing in that section.","I completely forgot about this – thanks for jogging my memory!","1"
"Unlike agnosticism, which leaves open the question of whether there is a God, atheism is a positive denial.","Nielsen is *arguing* for a particular conceptualisation of atheism, not merely reporting an existing consensus.","1"
"And after all that, it still would belong in the economic policy or presidency article, not here.","The only cited reference is the poll release from Siena itself, so noteworthiness can be legitimately questioned.","1"
"--","I realize I'm acting a bit edgy, but then so too would most people, I'm sure, who'd just provided 50 sources on controversial material being excluded from an article, only to be told they hadn't made any points.","1"
"Liberation is achieved by removing ignorance about everything, all things/processes/phenomena (i.e.","The Buddha was not concerned with physics!","1"
"I agree that that topic is not adequately handled in the wiki article.","Only three words [''unlike the atheist''] are about any atheist position on existence (existence appeared in his comprehensive definition of atheism only with respect to an anthropomorphic God.","1"
"We still see emotionalism (orphans in the lead) as well as polarization (if you don't agree with everything written above, then you are a DENIALIST -- a word absent from most dictionaries, BTW).","--","1"
"See Fringe theories#Parity of sources.","''This article should be about what is actually pseudoscience, not what some lone crank considers pseudoscience'' - That's what I've been trying to say.","1"
"Thanks for asking.","It seems to come in waves.","1"
"You may wish to read WP:FRINGE.","Well, that's a useful criticism, thank you, JoeSmack.","1"
"As the borg would say: ''resistance is futile''","Germany did not come to terms with its genocide because they wanted to, they were forced to do so after being defeated.","1"
"I think the idea is to have a broad representation of source material.","The eleventh hour revelation of using children's books as source material really dealt the killing blow to this article's credibility.--","1"
"Setting aside what anyone thinks about Harris, I find the quote useful here (and rather innocuous), in that it simply documents one point of view within atheism, about what atheism does or does not mean.","In fact, there is considerable discussion of how the word has historically been used as an insult.","1"
"I don't view the name ''British'' in ''British Isles'' as problematic because I don't view everything as an insult - I do not have an inferiority complex.","Most use it for quick references.","1"
"Likewise all physical laws transform using the same substitutions to the physical laws as expressed in that frame using that curvilinear coordinate system.","Fictitious forces do exist, here they're a manifestation of inertia.","1"
"Christian's study, 1917 (or thereabout.) The rest of the statistics are unsourced.","Uhm, you don't know how I can support that, really?","1"
"When this is done, the symbol ''a'' represents just the kinematic acceleration of the particle relative to the rotating coordinates, and the fictitious forces are called the centrifugal, Coriolis, and Euler force, respectively.","These forces are usually called inertial forces.","1"
"I know that Redskins diverts to ''Native Americans.'' Are we going to have articles on ''slanty-eyed people'' next?","Other cultures/language groups also label various peoples as ''black.'' But I may just be reading the above comment wrong.","1"
"This is of course later eviscerated by Drange - to which there seems to have been little answer, but loads of IDHT.","You can't maintain that atheism is consensually ''a positive denial'' when Eller, for one, says it isn't a positive denial.","1"
"I've not used the phrase ''out of the Ottoman Empire'', nor have I used the word ''resettlement'', so I don't see what your objection to my proposed change is grounded on (or if indeed it is an objection)?","I agree that the term used be ''forced (death) marches'', for infact that is exactly what was used by the Ottoman Empire.","1"
"It is rooted in an array of philosophical systems.","I would urge you to point to specific sources that support your position, at this point I have no way of knowing to what degree you are presenting the sources as intended, or the quality of the sources to begin with.","1"
"So, when describing a controversy that has been given the label ''denialism'' (a contortion of the English language), why is it a ''misrepresentation'' or ''distortion'' of a *scientific* WP article to focus on *scientists* in that section?","I completely agree.","1"
"Also, any edits this user makes should be removed as a result that the editor is an obvious sock of","where?","1"
"I think this Roman Catholic Church article is every bit as important as the other semi-protected articles and I think it would be in Wikipedia's best interest to help us all bring this article to FA by providing the semi-protection provided to these other articles.","I've just thought of something.","1"
"Very important.","I don't believe that the current mentions of persecution of Catholics needs to be removed from the article.","1"
"The majority of historians agree it was a genocide.","Until you (dance with the devil and nasmos)are taken out of your dream and into a reality, then this article will always be a biased and non-wikipedia class article.--","1"
"Reverted.","It baffles me that you use it.","1"
"And sometimes a lighthouse is just a lighthouse.","A combination of the USD, the euro and the Japanese yen.","1"
"I changed it so the most far reaching sentance is at the end, as should be done.","Drift and selection are mechanisms that act on mutations to produce diversity.","1"
"Then this entire debate could be squelched and the tags on this article removed.","This still wouldn't match the content exactly, but it would be much closer.","1"
"It's taken a lot of work by a lot of editors to get the article to where it is now.","2.Your next point: ''Their designation had nothing to do with elections status.......should not change due to the elections'' Actually, if you check the U.S.","1"
"First off, the inclusion criteria that allow darwinism are here: 'Besides explicitly using the word ''pseudoscience'', some may also have used synonyms that help to explain why they consider a topic to be pseudoscientific.","There will always be grey.","1"
"Cheers!","That level of detail simply does not belong in the RCC article.","1"
"I'm sure many people would appreciate it.","Thank you very much.","1"
"Just like North America is different to USA, and East Indies is separate from India.","If you have any new information to add, with reliable references to back them up, they'll be considered.","1"
"I just noticed someone has now put the Flag of St Patrick on the banner.","That is, indeed, unconventional.","1"
"ISBNs are much more useful, are available to all editors, add much less clutter to the page, and don't add nearly as much raw kB (which affects load time).","Does including the Google Books links remove the ISBN links?","1"
"As such it belongs in a sub-article about the presidency or the economic policy.","They need to take a hard look at their editorial policy (I mean, seriously, when you call the chairman of the Republican Governor's Association a Democrat...).","1"
"The following quote makes my point: We observe lots of cases in this world where the natural course is increasing order.","295(5564)pp 2418-2421.","1"
