"","quote_text","response_text","relation"
"9405","abortion is bad, there shouldn't be a need for it in the perfect world, but i'm not going to force my morality down your throat and force you to abide to MY principals while demanding you abandon your own.","For once I agree with you. Your wrong on your thoughts and views with evolution but your right in saying that abortion is wrong.",2
"3187","I agree. Time will tell if the cells are as effective as embryonic stem cells, and it seems on the surface, they well might be.
 Except.
 These stem must be donated by pregnant women. Amniocentesis, while pretty darn safe, is not without risk.
 First, the pregnant mother must donate the cells.
 The risk to the fetus is not zero.
 When we already have a zero risk procedure from cells that are going to be disposed of anyway.
 In any event, I am sure some nut job with an extremely skewed sense of morality will find a way to call this procedure immoral in some way.","Yeah, it does have risk unlike the embryonic stem cells, but I think that if it comes out the way they hope, it will eventually lead to more embryonic uses as well when people realize that this can have risks. I think it is good to have this way as a back up while people argue over the use of cells that would otherwise be disposed, and get some treatment to people who need it rather than letting it be denied to them by anti-abortionists. And yeah, it's pretty much guaranteed that someone will find something to object about, claiming it is immoral (maybe it will now be that these stem cells are potential human life and we can't use them emoticon_rolleyes ), but it will likely not have as many objections.",2
"37321","Pro-Choice: Object to the mother needing to raise a child she did not want to have.","Object to the woman being required to remain pregnant when she does not want to be.",2
"41831","And at nine months, they're no longer dependent on it's mother's blood, and therefore is technically a baby. At nine months, you're not killing a fetus, you're killing a baby.","Yes Ethmi, that is why abortion is not legal at nine months :xbanghead .",2
"43721","These so-called pro-lifers don't care if women die because of forced pregnancies.","Of course they don't care. Being selfish is a cornerstone of who they are. They think that all women are invisible emoticon_emb",2
"701","I'm curious as to everyone's opinion on this.
 
 My opinion is that if one's right, the other must be too.","Both are ok by me :P",2
"19292","A ""real man"" helps those who he loves, whether he likes what they did. A father loves his sons and daughters, despite what they do, rather in spite of what they have done.","Absolutely. emoticon_xgood",2
"5978","Which is also true after ANY cell division of any kind, and as such again is a rather meaningless point.","So, we agree again. This is the second time you have labeled one of my points meaningless. I do not disagree. In and of themselves, they are meaningless. Any meaning is assigned to them by whoever wishes to interpret them.",2
"4538","1 Corinthians 11:4-7 Any man who prays or prophesies with something on his head disgraces his head, but any woman who prays or prophesies with her head unveiled disgraces her head--it is one and the same thing as having her head shaved. For if a woman will not veil herself, then she should cut off her hair; but if it is disgraceful for a woman to have her hair cut off or to be shaved, she should wear a veil. For a man ought not to have his head veiled, since he is the image and reflection of God; but woman is the reflection of man.[/COLOR]","And this one too (abeit watered down- having to wear a to church)
 
 Goes to show just when you thought we had gone all progressive there are some people wanting hiding blatant sexism behind the veil of religion.
 
 But with regard to your point I agree entirely- the bible is interpreted in different ways, depending on the person.",2
"48172","It is actually quite simple. The question is ""When can a woman kill the fetus?"". I would say that, if it is out of her body, then none of her critical rights are being violated and she has no right to kill it.","I think you have already answered your own question.",2
"40041","""Looking into Hannah's eyes, I weep for the roughly 188,000 frozen human embryos like her placed in frozen-embryo orphanages who could be adopted rather than terminated with my federal tax dollars."" Marlene Strege, testifying at a congressional hearing in 2001. She is the mother of Hannah who developed from an adopted embryo.","Maybe someday it will be possible to bridge the gap of time from embryo to the viability of the fetus outside the womb.",2
