"","quote_text","response_text","relation"
"5753","Why should they kill a human being in the womb, whether this human being is Arab or not? Aren't the Arab and non-Arab created by God? Why all this discrimination among the creation of God?
 
 eanassir","I think that you missed the point of the argument. VT is arguing that the low birth rate in the West is attributable to high abortion rates and the high birth rates amongst Arabs creates a numbers game in favor of the Arabs. Since they respect life (their own, that is) more than the West, their numbers are growing much quicker, while our lack of respect for human life is causing the gap to widen.",0
"6743","OK simone,what's your point?","Just looking at the REAL issues of abortion, Maineiac. Do you have a problem with that?",0
"8752","Actually, there is, my poor addle-minded friend. Indeed, you can argue that she was even exercising her responsibility as a citizen with more civic-mindedness than many because she non-violently and patiently refused to sign the ticket.
 
 She has a right not to sign.","Again you focus on irrelevant minutia in the hope of making excuses and justifying the actions of someone who was clearly in the wrong. Here again is what the Judges said in their ruling, one being a fellow woman whom you are calling a racist, and it doesn't bode well for your law suit partial criminal: But in a 2-1 ruling Friday, a panel of the 9th U.S. Circuit Court of Appeals disagreed. Judges Cynthia Holcomb Hall and Diarmuid F. O'Scannlain held that the officers were justified in making an arrest because Brooks was obstructing them and resisting arrest.
 The use of force was also justified because of the threat Brooks posed, Hall wrote: ""It seems clear that Brooks was not going to be able to harm anyone with her car at a moment's notice. Nonetheless, some threat she might retrieve the keys and drive off erratically remained, particularly given her refusal to leave the car and her state of agitation.""",0
"6599","I would disagree here about this, in terms of the pro-life view. It's not that mental existence is irrelevant ... quite the contrary; in fact it's the reality that there will SOON be mental existence that makes it matter. I don't think the issue of abortion should ever be divorced from the reality that the embryo will likely grow into a human being ... a human that is human by pretty much anyone's standards. So I suspect that the big difference here is that pro-choicers are more ""in the moment"" in terms of the way they view the fetus, and pro-lifers are more ""long-term bigger-picture"" in terms of the way they view the fetus. Certainly the likely potential of what the fetus grows into has a lot to do with the pro-life position on whether it is truly human.","But growth is fairly irrelevant. My sperm can grow into a human too, and have mental existence, yet ejaculating isn't murder. It just becomes a huge debate on where to draw the line, therefore it is best to focus on the state that it is right NOW. Not what it was or could possibly be.
 
 
 
 That seems reasonable to me.[/QUOTE]",0
"6795","Actually, they are not very effective at all. Undoubtedly because a condom retains the bulk of the discharge of semen, the rate is cut down. To become infected with any disease, two things are relevant in terms of the offending, invasive agent. One is the presence of some of those viruses, or germs, itself. The other is the quantity of that agent entering the body. If there are only a few bugs, the average human will kill them off. If there's a very heavy dose, the chance for an infection succeeding is greater. Therefore, by cutting down on the volume of semen, a condom certainly reduces the chance for AIDS. But AIDS viruses do get through the condom.","Why is the rate of AIDS so high in Africa then, where donoms are rare, but so low in the Western world, where condoms are the norm.
 
 -Wez",0
"3230","This woman is a jerk and feels so entitled because she's black,","This is a racist statement. Also unsurprising from the anti-choice/anti-life crowd. And their constellation of views.",0
"1864","Two requisites are essential to be a true antiabortionist:
 
 1) To promote fetal civil registration
 
 2) To promote legal punishment for abortionist mothers","Because you said so?
 
 And wow! I've never seen so many fallacies in one thread. I'll briefly point out the fallacy for each post:
 
 Post:
 1. A type of false dilemma
 2. Poisoning the Well and Ad Hominem
 3. Aside from being hearsay it is also a circumstantial ad hominem 
 4. This is either hearsay or a false claim.
 5. This isn't a logical fallacy. Congrats.
 6. Same as 4. This certainly isn't common knowledge and makes no sense anyway.
 7. Not a fallacy. Good job :)
 8. Classic Ad Hominem
 9. Not a fallacy. And yes, I am confused as well. Cyberateos is actually doing ok other than the first post
 10. Straw man! A simone special (an ad hominem attack right there by me)
 11. Strawman, Appeal to Ridicule
 12. circumstantial ad hominem 
 13. (my post) This is just unrelated and therefore is a fallacy. 
 
 Wow, only 2 out of 13 are not logical fallacies. This is terrible.",0
"4050","Why must the anti-abortion crowd use such fallacious images to sell their point?","So you people will know what you're supporting, and hopefully repent of it.
 
 Pictures of aborted babies (Warning: Graphic content - do not click on the link if you think you might be offended):
 
 CBR / Abortion Pictures",0
"8700","Fifth, do you believe the fetus is a person? Why?","It isn't a person because it doesn't have a higher brain necessary for a mind to form in.",0
"4415","If your knowledge of the bible, and your understanding of Gods holy nature is so limited as to not know the answer to these questions Matthew, then me answering them isn't going to change your mind about anything you currently believe.","So God gets to do these terrible things, but He gets a free pass because He's God?
 
 Kinda funny what happens when you show Archie that the Bible doesn't even support his beliefs, isn't it guys?
 
 I still like the fact that the Bible says not to count children under one month of age as persons, yet here Archie expects us to count a zygote as ""a human life.""",0
