"","quote_text","response_text","relation"
"1042","I agree that this does not settle anything, it merely points out that the unborn do not have all of the same legal recognitions that the born have. I for one, am dead set against allowing the unborn to vote... and drive.","But...but...
 I just swallowed 56 zygotes so that they could vote by proxy through me for the Ripofflican(tm) party this upcoming election so they can win. Now I'm going to have all that indigestion for nothin'.
 As to driving...don't care. 
 What I'll miss most is all of those credit card offers that come in their names. There's just so much that they, living though me want to 'buy now and pay later' on. You saying they can't do that?",1
"9634","Good point. Touche.
 Though lots of folks have not had abortions. Certainly most men have not. 
 
 I was just growing tired of a certain little poster's uninformed opinions of sexual activity. My post was intended to be a little playful. If it missed the mark, mea culpa.","I know. I just don't want to be accused of only spitting in one direction. Carry on.",1
"8879","As long as abortion is legal, men can be denied the right to procreate! If ""choice"" is to be applied fairly, men should be allowed nine months after learning of the pregnency to legally ""abort"" their relationship with the child. Otherwize, men are left with fewer ""rights"" and additional responsibilities (for which he can be arrested if he doesn't meet them).
 
 However, it would be much easier to consider intercourse the only time when any ""choice"" can be made.","Well if a man wishes to father he should have a legal agreement emoticon_idea with the woman to mother his child. Rights and duties implied .
 Cylene Gama",1
"6407","It is much more important that you concern yourself with the destiny of your soul, not how many years you can stay on the earth.","LOL!
 
 And yet you look both ways when crossing street.",1
"7309","I would consider myself pro-life (although I hate such labels), but this kind of behavior is not only disrespectful, mean-spirited, and wrong, it runs counter to everything they are attempting to accomplish.","It is rather disrespectful but don't think it is limited to one side. Most protestors on both sides aren't great.
 
 one thing did spark my interest, and it is said often, why is it a ""hard decision"" if you are pro-choice? Is it hard because you don't know if you want a baby around or not? Couldn't this decision be just as hard before being pregnant? Even so, why link it to going to an abortion clinic? You hear ""It was hard enough to come to this decision in the first place"" but how is going through some protestors making this decision harder? 
 
 No one would admit to this but it is statements like ""It was hard enough to come to this decision in the first place"" that make me believe that someone realizes it is wrong and the struggle that makes it hard is whether or not to do the right thing or do they thing that would benefit you the most. And in that case, I agree...that can be a tough decision.",1
"7820","Abstinence until marriage is still the best way.","Abstinence until you are old enough to handle sexual relationships responsibly should most certainly be preached along with information about and access to birth control.
 
 There are plenty of us who have no interest in the institution of marriage - your religion should not determine who amongst is a sexually active adult. Not to mention we have got to stop pushing the gotta get married have a partner to be a happy seccuesful person message - ESPECIALLY TO GIRLS - it will lead to sex, for heaven forbid they be SINGLE.",1
"4400","Yes, the unborn are being dehumanized. They're ""babies"" when the mothers want to have them, and ""blobs of unviable tissue mass"" when they don't.","I think you just made the point that they're people after a certain degree of development takes place.",1
"2367","No way. No friggin' way. *Majorly ticked* The Goverment can't intrude on your life like that. What's next, they do and they have to have a forced abortion? This isn't Communist China....no way. They can't do that....
 
 
 *Begins to consider stockpiling weapons in case of a revolution against the liberal controlled courts*","Well, it stated that they would not be forced to have an abortion, but would be held in contempt of court.
 
 Was what he said wrong only because he is trying to intrude on their private lives, or because he felt that the couple should not have any more children put onto the taxpayer's backs? Is this necessarily a liberal view?",1
"5223","Right now, I might consider it, as I am now a few weeks away from my graduation. Back then, I would not, as I had just begun college (I was in my sophomore year for my BS - now I'm about to get my MS). However, there is also that other major part of my decision - I never had the intention to become pregnant, and we even took steps to make sure I wouldn't. That also is a major factor in any of my decisions on it. 
 
 Another decision that involves my work is that from about my fifth month on (acording to the doctors I spoke with) - I would be unable to work - that's four months, and while right now I am in good standing with my company and they might even allow me to do that, back then I was just starting out, and would be unable to do so.
 
 So, I'd say that at the moment if that were to happen, and that I was paid a stipend (I know of no place near me that does so) and then gave the baby up for adoption, my fiance and I would seriously consider the prospect.
 
 I know that in the future - in five years or so - we expect to be able to have paid off all our loans, and we will then consider actually having a baby.
 
 So in summary - now I would consider it, but back when I had the actual abortion (6 years ago or so) I would not consider it.","That sounds like an honest answer. How did you feel about it at the time? How do you feel about it now? Just trying to educate myself more.
 
 Huck",1
"6748","Why do women opt for abortion over adoption?","Because they are unable to maintain a pregnancy - money, job and education security, health (physical, mental and emotional).",1
