"","quote_text","response_text","relation"
"93521","Even though our planet is getting warmer, it is still a lot cooler than it was 4000 years ago.","The average global temperature follows a sinusoidal pattern, the general consensus is we are supposed to be approaching a peak. Projections show that instead of peaking, there will be continue to be an increase in average global temperature which exceeds that of the peak 4000 years previous.",2
"1274","you may, but firstly, that argument may well not fly - much of the grain going to these animals is essentially the trash left over from other production to begin with, unfit for human consumption.","Nearly all the food humans eat today, even in the Western world is GM including maize, tomatoes, and soy, etc, etc. used as ingredients in products such some soymilk. Essentially everything is with the exception of ""organic"". However, as i noted above, I wouldn't make this argument because I think GM soy esecially is not very healthy for people snd GM foods tend to be more prone to bacterial infection which can make people sick. I haven't read from all sides, however.",2
"9352","Even though our planet is getting warmer, it is still a lot cooler than it was 4000 years ago.","The average global temperature follows a sinusoidal pattern, the general consensus is we are supposed to be approaching a peak. Projections show that instead of peaking, there will be continue to be an increase in average global temperature which exceeds that of the peak 4000 years previous.",2
"73561","Firstly, complete this sentence:
 
 If decreasing demand for meat in the western world decreases the price of meat in the developing world, increasing demand for vegetables in the western world _________ the price of vegetables in the developing world.
 
 Malnourished children aren't worried about getting meat. They can't even afford vegetables. Lower meat prices won't help them. In your own words ""most starving people today cannot even afford grains""","The 2020 Global Food Outlook answers this as it says that a greater demand for vegetables will correspond with higher prices of vegetables in developing countries. Many articles acknowledge that starving people cannot afford much of any of the food for sale around them, and a greater demand for meat does not necesarily mean a decrease in demand for vegetables as populations grow globally. Since increasing meat consumption is irrational because it will not feed the poor and it will do even more damage to the environment, again, the solution proposed is to support the initiative for developing nations to become more self-sufficient in growing plant foods for themselves.",2
"8002","Global warming sure is a threat. Some of the Polar Ice Caps already melted. Average temperatures have rised since 50+ years ago at a constant rate. We better stop polluting now, or we will be in big trouble.","The Polar Icecaps have been melting for the past 14,000 years according to experts. Many in the scientific community believe that it would be another 100-1000 years before the melting of Polar Ice becomes a factor in the rise of sea level. What they believe is more important is the thermal expansion of the world's water that comes with the increase in the oceans' mean temperature.
 Some predict that the rise in sea level could be 3' by 2100, so don't invest long-term in any beach-front property that isn't on tall stilts and you'll be OK. 
 emoticon_xgood",2
"67301","Do you know much of our atmosphere is made of C02? 0.035%!","The amount of atmospheric greenhouse gases (CO2 is not the only greenhouse gas) threatens to snowball because of the rapid depletion of available carbon sinks and the consumption of existing ones. The MAIN problem with de-forestations is NOT that the trees are no longer removing CO2 from the atmosphere, but our use of them is adding CO2 to it (burning, etc.) and the other sources we could turn to to remove it are also being used up. Methane hydrates in the polar seabeds threaten to rapidly increase the amount of atmospheric greenhouse gases as soon as the temperature increases enough to destablize the ice crystals holding them in place.",2
"28001","It disproves climate change about as well as Piltdown man disproves evolution.","Agreed, which tells me that spending $Trillions on an uncertainty of this magnitude has to be driven by alterior motives.",2
"7301","use the scienctific method on pusedo-science. Disprove something until you can no longer disprove it... then what is left is what you can prove. I move to disprove they will remain to be as ardent a supporter while defunded. The minute that dries up it will be amazing to witness how much global warming and it's new variant ""climate change"" [whoa... that's original] will suddenly be a non issue. -That Darn Republican","Excellent observation! 
 
 (and, for the record... I actually agree that man's impact upon the planet has had some affect on global temperatures.... I just don't agree that we have a crisis to deal with as a consequence)",2
"730","use the scienctific method on pusedo-science. Disprove something until you can no longer disprove it... then what is left is what you can prove. I move to disprove they will remain to be as ardent a supporter while defunded. The minute that dries up it will be amazing to witness how much global warming and it's new variant ""climate change"" [whoa... that's original] will suddenly be a non issue. -That Darn Republican","Excellent observation! 
 
 (and, for the record... I actually agree that man's impact upon the planet has had some affect on global temperatures.... I just don't agree that we have a crisis to deal with as a consequence)",2
"6730","Do you know much of our atmosphere is made of C02? 0.035%!","The amount of atmospheric greenhouse gases (CO2 is not the only greenhouse gas) threatens to snowball because of the rapid depletion of available carbon sinks and the consumption of existing ones. The MAIN problem with de-forestations is NOT that the trees are no longer removing CO2 from the atmosphere, but our use of them is adding CO2 to it (burning, etc.) and the other sources we could turn to to remove it are also being used up. Methane hydrates in the polar seabeds threaten to rapidly increase the amount of atmospheric greenhouse gases as soon as the temperature increases enough to destablize the ice crystals holding them in place.",2
