"","quote_text","response_text","relation"
"72892","I hope not. People who do nothing more than speak the truth today are called professional a--holes all of the time. I am called an industrial strength a--hole. Always speak the truth and confront evil where you find it.","A lot more truth to this statement that a person would think. My statement was in jest, but somewhat true. Yes, the jurors could not vote on concrete evidence, but just how much circumstantial evidence do jurors need anyway ? To quote the mighty TS, if it looks like a duck, walks like a duck, quacks like a duck, craps like a duck, at what point does it become a duck ??",2
"1000","""If evidence of the young woman's (newly married) virginity is not found ...then the woman shall be brought to the house of her father and the men of the town shall stone her."" - Deut. 22:20","""She has done a disgraceful thing in Israel by being promiscuous while still in her father's house."" Promiscuous:not restricted to one sexual partner (Kinda like a prostitute.)",2
"89831","The death penalty assures that an incorragable criminal never has the opportunity to kill anybody else. In prison, the criminal could a) kill another inmate, 2) kill a guard, 3) escape and kill a civilian, 4) have their sentence commuted and get out to commit another crime. 
 Quote:
 Would you agree if the death penalty was banned?
 
 No, for the reasons stated above and one more. Some people don't deserve to live....like SH, for example.
 __________________
 
 
 True , gang members put in prison often kill other opposing gang members in prison so that is true. They also get put in prison and are proud some of them , gang leaders consider it a mark of honor something some of them getting caught by the 'fuzz' and put in jail. 
 
 
 
 Who are we to decide who is to live? What makes us so much better? Hitler didnt deserve to live but that does not give us the right to kill him.
 
 
 I agree with shooter and proud but hey heres a situation, why don't we give murderers fates to the ones most hurt by their crime, and rapists fates are decided by the ones t hey rape. They would know the best. IF the ones raped are too young such as under maybe 10 or are like seven or its a loved one and they can't seperate justice from love, then the case be decided by law. 
 
 Give them the chance to live in solitary confinement, give them the chance, we can always take it away. But those killed don't get no more chances. In prison if they do kill put them in confinement. Same with the others, if they are in solitary and they succeed in killing someone else , death penalty then fine. 
 
 
 But gang murders should be different, if someone is in jail for killing a gang member in a fight or something like that , it is murder but it isnt as open and as clear justice as it is if they shot a four year old in the head for being related to someone in an opposing gang. Then its wrong flat out, solitary or death penalty. Personally Id be for giving them death penalty for anyone who would do that. But I have two three year old cousins who I love to death and would kill anyone who harmed them so I do not want anyone to get away with killing kids. Child killers are some of the worst criminals there are.","So, in summary, you aren't against the death penalty on principle. You just want it used judiciously? Same here. Where we'll differ is in the details of what's judiciously.",2
"27371","The age of 18 is an arbitrary designation.","That is the premise of my question. On what basis can one claim that the Constitution makes this arbitrary designation with respect to the death penalty? I simply don't see any rational argument for it.",2
"72891","I hope not. People who do nothing more than speak the truth today are called professional a--holes all of the time. I am called an industrial strength a--hole. Always speak the truth and confront evil where you find it.","A lot more truth to this statement that a person would think. My statement was in jest, but somewhat true. Yes, the jurors could not vote on concrete evidence, but just how much circumstantial evidence do jurors need anyway ? To quote the mighty TS, if it looks like a duck, walks like a duck, quacks like a duck, craps like a duck, at what point does it become a duck ??",2
"89832","The death penalty assures that an incorragable criminal never has the opportunity to kill anybody else. In prison, the criminal could a) kill another inmate, 2) kill a guard, 3) escape and kill a civilian, 4) have their sentence commuted and get out to commit another crime. 
 Quote:
 Would you agree if the death penalty was banned?
 
 No, for the reasons stated above and one more. Some people don't deserve to live....like SH, for example.
 __________________
 
 
 True , gang members put in prison often kill other opposing gang members in prison so that is true. They also get put in prison and are proud some of them , gang leaders consider it a mark of honor something some of them getting caught by the 'fuzz' and put in jail. 
 
 
 
 Who are we to decide who is to live? What makes us so much better? Hitler didnt deserve to live but that does not give us the right to kill him.
 
 
 I agree with shooter and proud but hey heres a situation, why don't we give murderers fates to the ones most hurt by their crime, and rapists fates are decided by the ones t hey rape. They would know the best. IF the ones raped are too young such as under maybe 10 or are like seven or its a loved one and they can't seperate justice from love, then the case be decided by law. 
 
 Give them the chance to live in solitary confinement, give them the chance, we can always take it away. But those killed don't get no more chances. In prison if they do kill put them in confinement. Same with the others, if they are in solitary and they succeed in killing someone else , death penalty then fine. 
 
 
 But gang murders should be different, if someone is in jail for killing a gang member in a fight or something like that , it is murder but it isnt as open and as clear justice as it is if they shot a four year old in the head for being related to someone in an opposing gang. Then its wrong flat out, solitary or death penalty. Personally Id be for giving them death penalty for anyone who would do that. But I have two three year old cousins who I love to death and would kill anyone who harmed them so I do not want anyone to get away with killing kids. Child killers are some of the worst criminals there are.","So, in summary, you aren't against the death penalty on principle. You just want it used judiciously? Same here. Where we'll differ is in the details of what's judiciously.",2
"59321","Do you think that a criminal that faces life in prison should have the right to choose to be put to death instead?","Yes. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",2
"7289","I hope not. People who do nothing more than speak the truth today are called professional a--holes all of the time. I am called an industrial strength a--hole. Always speak the truth and confront evil where you find it.","A lot more truth to this statement that a person would think. My statement was in jest, but somewhat true. Yes, the jurors could not vote on concrete evidence, but just how much circumstantial evidence do jurors need anyway ? To quote the mighty TS, if it looks like a duck, walks like a duck, quacks like a duck, craps like a duck, at what point does it become a duck ??",2
"2737","The age of 18 is an arbitrary designation.","That is the premise of my question. On what basis can one claim that the Constitution makes this arbitrary designation with respect to the death penalty? I simply don't see any rational argument for it.",2
"27372","The age of 18 is an arbitrary designation.","That is the premise of my question. On what basis can one claim that the Constitution makes this arbitrary designation with respect to the death penalty? I simply don't see any rational argument for it.",2
