"","quote_text","response_text","relation"
"4973","And of course, after God had killed ""every thing that is in the earth,"" a dove managed to find a live olive leaf as a sign of receding floodwaters.","You know, that is one aspect of the story that no one ever seems to focus on when refuting the flood. I think it is an excellent extra point of refutation of the whole ridiculous story.",2
"1985","So please do not ask questions where you know that people most likely can't give you a definite answer (because no one knows it) just to finally say that if Evolutionists can't prove it completely it most likely isn't true... We all know that ourselves...
 
 There are no real answers to any of your questions... (yet)...","That was the whole point of asking the questions, to prove evolution isn't an absolute truth. emoticon_smile",2
"7701","Ironically, when I have publicaly advanced the idea that God is generally compatable with evolution, I find that my agnostic and atheistic colleagues are generally comfortable with such ideas, but many believers are dumbfounded.","I believe that's true, and as a ""believer"" (creationist), here is what is hard to understand about that; In Matthew, 12:30, Jesus says ""He who is not with me is against me, and he who does not gather with me scatters"". It is safe to say that both creationists and theistic evolutionists would accept that statement from Jesus, and would seek to be ""with"" him, while agnostic and atheists would consider themselves ""not with"" him. Yet theistic evolutionists are comfortable to (usually politically) be ""with"" agnostics and atheists, and separate themselves from creationists. If they're genuine Christians, knowing about the warnings in the Bible about false teachings, how can they be comfortable with that?
 
 Miller laments in several places throughout the book that atheists use evolution as a weapon against religion, and that it shouldn't be that way - that it causes more strife between the two than should exist.",2
"23572","...is that they think that ...they aren't loved...","Might be something to be said for that. Are there any studies that show possible causes of suicide?",2
"94732","I admire your zeal. I agree God is real.
 
 However, you need to work this into a statement pertinent to the ""Creation v Evolution"" theme of this subject. What exactly do you want people to debate you about, with regards to the topic?","ya i am trying to work on that stuff. ummm my debate is to get ppl to read it and argue what i have so i can help them",2
"26782","Give to God what belongs to God. Give to science what belongs to science","I see the similarity with the original scripture, in which Jesus was recognizing the authority of both God and Caesar in the world. However, Jesus was talking about the political power in the world. Jesus called the academics of his day, vipers and hypocrits, because they pretended to be holy but were evil. He called the wisest of men fools, because they did not believe in God. 
 
 Also, as I stated before, truth should be the ultimate goal. I do not fear science. I do not see any truth that science may happen to reveal as a threat to faith. Why? Because God is Truth. Jesus said, ""And the truth shall set you free""!!!",2
"25891","I'd love to know the exact questions asked.:)
 
 -Wez","Agreed.... there is nothing over at MORI about it. Perhaps Horizon will elaborate tonight.",2
"7591","Originally posted by Debater 
 A. afarensis was an ape","So am I, so are you.",2
"3098","It was the year 1909 and a navy officer (who was a Humanist) decided to search for the North Pole. He brought along a Biologist for research and a Priest just for moral support. While trekking through the middle of no-where they stumble across an igloo.
 
 The Priest exclaims:
 
 ""it's a miracle!""
 
 The Humanist dismisses it saying:
 
 ""don't be silly, man must have made it""
 
 Then the biologist pipes up:
 
 ""wait a minute""
 
 After jotting down notes and referring to his books for about an hour he says:
 
 ""yes, after scientifically analyzing the facts it's obvious to me that over a period of about 1000 years this snow shelter evolved""","The Biologist must have been thinking that a ""giant mushroom"" was the cause and evolve it. Now, that's very funny! :)",2
"2677","Thanks, that's very kind of you.","lol
 you're welcome emoticon_xangel",2
"1231","What sicknesses will we cure with it?","Can't say.",2
"94162","Utter nonsense!","Yea verily!",2
