"","quote_text","response_text","relation"
"8279","Conclusion
 Based on the above lines of reason, I assert that reproduction is not an absolute requirement of life: that something could be considered to be alive without it necessarily needing to be able to reproduce.","The problem with this reasoning is that the criteria you're refering to aren't a definition for life, they're a set of guidelines, rules of thumb. They aren't meant to be applied to obviously living marcoscopic things like mules. Their purpose is to give biologists a common ground when discussing things on the microscopic scale. On that scale, where ""living"" isn't obvious, reproduction is one of the things biologists look for to decide if something should be called ""alive"".",0
"3904","The Bible only refers to ""high hills"", and the mountains today wre formed only towards the end of, and after, the Flood by collision of the tectonic plates and the associated upthrusting. In support of this, the layers that form the uppermost parts of Mt Everest themselves of fossil-bearing, water-deposited layers. This uplift of the new continental land-masses from under the Flood waters would have meant that, as the mountains rose and the valleys sank (as Psalm 104 suggests), the waters would have rapidly drained off the newly emerging land surfaces. The collapse of natural dams holding back the floodwaters on the land would also have caused catastrophic flooding. Such rapid movement of large volumes of water would have caused extensive erosion and shaped the basic features of today's Earth surface. 
 
 As a result of this extensive erosion (caused by the retreating Flood waters) it is not hard to envisage the rapid carving of the landscape features that we see on the Earth today, including places such as the Grand Canyon of the U.S.A. The present shape of Uluru, a sandstone monolith in central Australia, is the result of erosion, following the tilting and uplife, of previously horizontal beds of water-laid sand. The feldspar-rich sand that makes up Uluru must have been deposited very quickly and recently. Long-distance transport of the sand would have caused the grains to be rounded and sorted, but we don't see this at Uluru, i.e. they are jagged and unsorted. Which indicates rapid transportation (like through a cataclystic Flood). If they had sat accumulating slowly in a lake bed drying in the sun over eons of years, which is the story told in the geological display at the park centre, the feldspar would have weathered into clay. Likewise, if Uluru had sat in hte once-humid area of central Australia for millions of years, it would have weathered to clay. But besides the ""fact"" that it has reportedly been exposed to weathering for hundreds of millions of years, the feldspars are still very fresh, as though they were exposed only yesterday. 
 
 Similarly, the nearby Kata Tjuta are composed of an unsorted mixture of large boulders, sand and mud, indicating that the material must have been transported and deposited very rapidly. 
 Receding floodwaters eroded the land, creating river valleys. This explains why rivers are often so much smaller than the valleys they flow in today - they did not carve the valleys. The water flow that carved out the river valleys must have been far greater than the volume of water we see flowing in the rivers today. This is consistent with voluminous Flood waters draining off the emerging land surfaces at the cose of Noah's Flood, and flowing into the rapidly sinking, newly prepared, deep ocean basins. 
 [Above information from the ""Updated and Expanded Answers Book"" by AiG, p. 165-166.]","Please. PLEASE, read an introductory Geology or Geography/Geomorphology textbook. Then we'll talk.
 
 Yikes.
 
 Waxy",0
"4000","What parts of the old testament actually help anyone do anything?","Ten Commandments. 
 
 Used as basic social norms.",0
"9152","There is no reason to insist that the skullcap and the leg bone came from the same individual.","But who insists that they do? Oh! Wait! I keep forgetting that your purpose isn't to explain facts but to make evolution look bad. So here you imply that paleontologists make this claim, when in fact they do not.",0
"7452","This is your refutation to science and evidence; to simply re-state your position. Mach, this is turning into a war of attrition, to see who gives up posting first. I have, however evidence on my side. You have opinion; and you actually state that evidence will not persuade you!","No Montalban, fallacy or falsity will not persuade me to think a true claim is false.
 Your faith cannot differentiate truth from falsity, so we cannot use your faith-based evidence, since it always results in circular reasoning, and ultimately, contradiction.
 
 If you wish to support your refutation with logical or justified evidence, please do. You have not.
 
 
 I make no such claims about the unknowable. I have claimed, that your claim, is illogical:
 ===============================
 Defined:
 Unknowable: not knowable 
 www.cogsci.princeton.edu/cgi-bin/webwn
 
 - based on Law of Contradiction
 A proposition cannot be both true and false.
 Is it knowable? No, by definition, it's unknowable. False
 Is it knowable? You claim you know it. True
 
 Knowable: Not Knowable.
 
 The claim - I know something of the unknowable -
 
 Is a logical contradiction.
 -----------------------------------------------
 
 Your claim remains contradictory, despite your anger and frustration and assumptions about me.
 
 -Mach",0
"9259","The Bible can be used as a science book,","Well then, using just the Bible, what is the value of pi to the third decimal point?",0
"2026","Evolutionists claim we came from the inferior to become more complex....but it's just the opposite - we started out more complex and are becoming inferior.","Another unfounded assertion.",0
"9939","Wonderful mumbo-jumbo I'll agree. If that is the way you wish to order the events of evolution (the process by which everything was formed) then what exploded in the big bang?","And infinitely dense sphere of spacetime/matterenergy?",0
"1120","BTW, science isn't the ""evil work of Satan"". It's man's way of trying to explain something so that they don't have to believe in something that threatens the way they enjoy living. (The Bible.)","That's the worse definition of science ever.",0
"2857","This thread is just aimed at watching the dances. Would I be getting the insults I&#8217;m getting in this thread if they all didn&#8217;t find this troubling?","Not everyone reacts to repeated accusations of global scientific conspiracy, incompetence and corruption the same way. You ought to at least consider the possibility that you're merely being offensive :)",0
"5276","Why the clinical practice of medicine has no use for Darwinism, despite claims that it is impossible to practice medicine without applying its principles","Tell that to CDC pathologists. Or just read this post.
 ETA: Alternatively, let's look at the logic in this way: because the field of quantum mechanics is useless for helping me describe classical physical systems, quantum mechanics must be wrong. I think this illustrates the fallacy satisfactorily.",0
"5596","I'll bet it did. Did any of you money go out to them? Do any of you volunteer to go out to them? How are you different from me in this case and why is this relevant to evolutionary theory?","No. I am a student and I personally don't have much money. So how could I help them? I have very limited money of my own. I help when I can, but sometimes with my present finances I can't do much. If I had enough money, as I assume you do, than yes I would help them as much as I could. This is just an example of where people feel compassion. And as I have said before, Dawkin's has trouble explaining how the universal feelings could come about through evolution. We would not expect mutated pondscum to produce feelings and morals, ethics, etc.",0
"8192","Second Island? I'll have no choice but to parse this for what it is... it is agreed that mutations can exist, but they only exist laterally, like dogs for instance... you may have a beagle, that is short and not so hairy that may develop adaptations through breeding that aid it in survival locally... but what you will not see is a dog that develop wings because it had to fly to the closest food site.","So it's shifted from ""no new structures"" to ""I can think of a structure that can't evolve."" Me too. Evolutionary theory says that some things are not possible to evolve. But new structures, as you learned, do evolve.",0
"8434","Sure, they were a minority, but a group with a clear agenda... And they used scientific research to back their case! There are even worse cases that have arisen, such as detailed in the article ""THE SCIENTIFIC BACKGROUND OF THE NAZI EUGENICS PROGRAM","So how is misuse of science a valid argument against the correct application of the scientific method? Hitler also claimed he was doing his Christian duty. He admired Martin Luther very much. If you're going to ride the Nazi horse, you can't leave the head behind and just be the horses XXX.",0
