"","quote_text","response_text","relation"
"5025","Originally posted by FreeThinker 
 Karl,
 How can you say such things? The Bible says that God CREATED over and OVER and OVER again!","And the wonders all around us show us how. . .",1
"5592","That does not mean, however, that we should refrain out of politeness from making statements of established scientific fact just because a listener might have been exposed to contradictory religious beliefs. It is not the job of science to fix or accommodate the inaccuracies of religion. Within science classrooms, science is and should remain pre-eminent, so that people can make informed decisions.","But it should be the job of science to establish a clear line between just where established fact stops and philosophy starts. There's no indication that they're getting it done.",1
"7196","It seemed logical to me once, the idea of macro-evolution. Let us suppose we have a species called ""X"". If over a period of time the population became split by distance, we could call them ""X-1"" and ""X-2"". Again, over a period of time, changes may have happened in one group, through mutations, so that ""X-1"" may have changed so much that if the two populations were ever re-united, they'd be unable to inter-breed... thus they'd be two distinct species. Evolutionaries call this Sympatric Speciation.","Actually, mutations accumulate in both populations.",1
"1963","Did they finish up the feeder?","Yes. If this feeder is full, it lasts about a day and 1/2. I've gone through about 6 qts of hummingbird food since Aug 10.",1
"858","It's remarkable then, how much progress we've made. You may or may not approve of the theory, but it works very well at learning more about biology.","That, my friend, is where the wisdom of interpretation - makes sense of the data.
 For exa.:
 I really have no idea what the Federal GAO has for data, but, The wisdom of giving 850 Billion to a few bankers rather than the people who actually fuel the engine of this economy - eludes me.
 We have a large and powerful machine, but who is driving? Very important IMHO.",1
"3205","But heres the main point,...","You mean ""here's"".",1
"2375","They go to hell because they do not ask for forgiveness from their sins. Anyone who asks for forgiveness and changes will not go to hell. They do not want to change their sinful ways. (How many times to I have to repeat myself?)","And HOW do you know that homosexuals don't repent?",1
"3314","Im guessing its a science, because its widely accepted by scientist. Creationism is a religion, because it envolves God. Right?","Evolution is a science. ""Evolutionism"" is a word coined by creationists to make evolution sound more like a matter of faith than science.
 
 Likewise, creationsim isn't a religion, it's a belief based on religion. Sorry to be nit-picky, but precision in language helps in these sorts of discussions.
 
 Bascially you are right. Creationism is based on relgious beliefs and so teaching it in public schools in almost any scenario violates the constitution. Creationists keep repackaging it to try to make it seem non-religious, coming up with intelligent design, for example. However, courts keep ruling that it is illegal. I think the only thing you're missing is an understanding of how divorced from reality some creationists can be. They won't let a little thing like the law stop them from pushing their agenda.",1
"691","Have you your heard of a guy named kent Hoviand?","Yes. He a complete fraud. Why?",1
"3378","without abiogenesis proven evolution can not be proven.","See above, yet again",1
"602","1) Life will NEVER arise out of non-life.","So creationism denies what God says in Genesis 1. That's a fact. I'm a Christian, so for you, that's strike 1.",1
"9848","While you're spending your time pointlessly debating, there are hoards of catholics out there that are spawning like crazy.","Oh, the actions/intentions of the religious get much worse than just that. Hopefully, everyone will be scared a bit by the following statements made by nationally known religious leaders/activists.",1
"9943","On your link, the star shown is red in color.","Just to be sure you understood, it was the picture below that picture you were supposed to look at.",1
"2265","Your logic is remarkably lame to say the least.","You your qualifications in logic allow you to judge that? I suspect that you are talking out of your elbow since I haven't seen any evidence that you know what logic is. Mostly I see hysteria and superstition in your posts.",1
