"","quote_text","response_text","relation"
"3973","But, to tie this all back into a more useful example:
 
 If God is omniscient, he knows everything that will happen and has happened.
 If God is omnipotent, he can do anything.","Virtually anything!",2
"39731","But, to tie this all back into a more useful example:
 
 If God is omniscient, he knows everything that will happen and has happened.
 If God is omnipotent, he can do anything.","Virtually anything!",2
"61212","Maybe only one person could build a computer, maybe one person could make a car, maybe one person could run the mile in under 4 minutes. That doesn't mean that God can do ALL of these things. It means that whoever we define to be the greatest being, we can call him god and thus he exists. Of course this wouldn't be sufficient to Christians as this says that God is probably mortal and has the limits of being a physical being.","exactly. :)",2
"59572","As to whether he can be/do all those things you listed; if he is the almighty omnipotent deity that is claimed, then he can be all those things and more.
 
 He can be any and all gods ever worshipped and ever will be worshipped. He can be the greatest of the great and most wretched of all (at the same time). And all this before breakfast.
 
 It is only the feeble imaginations of mankind that limit him (which isn't that surprising, given that they created him).
 
 Smiley","Well now, there you go. . . .RIGHT ON!!",2
"73502","You see, I could replace any mumbo jumbo made up stuff and replace the placebo with it. Then by your logic, we could prove anything has an effect on anything else IN COMBINATION with something that actually works (you know, logical AND)","I see!",2
"6116","the problem then is, how could the universe begin in the midst of absolutely nothing (no time, no matter, no space, no energy)? what could possibly trigger the universe's beginning? (and then of course, where did these triggering events come from?)
 
 you will end up at negative infinity at some point","I think the currently popular belief is that time itself is limited. Space, time, energy, matter and laws all came into existence together. Of course that's impossible for us to envisage....",2
"59351","I spent 10.5 years in Catholic schools as well as having three nuns for aunts and numerous clery as family friends. I have been an atheist, more or less, since I was 13 or thereabouts. I find the devaluing of our experience and the rationale behind our rejection of religion and divinity to be the most perplexing aspect of my dealings with believers. I came to my present working assumptions after a lifetime of soul-searching. I reject the mythology because my mind leaves me no alternative.","I know that I'm hardly unique in rejecting the pious life that my teachers held up as the ideal: I was quite conscious at the time that I was merely a square peg in a round hole that was being bashed until it fitted. Parroting answers to questions that were themselves irrational wasted an absurd amount of time of course - but in other respects I received a good education for which I am still grateful.
 Nice to hear from someone who had a similar experience.",2
"59152","... i'm confused ...","... I'm not surprised ...",2
"40252","...
 
 Oh, yeah... and in fifty words or less, please.","Teehee. Nice. emoticon_xgood emoticon_xhoho",2
"657","Believing in stuff that there is no evidence to support is not LOGICAL.","I think that's the first thing you've said (in this forum) that I agree with. Not only that, but belief in God is illogical.",2
"22282","Your answers were without content or meaning. There was no sarcasm.","k",2
"6572","Believing in stuff that there is no evidence to support is not LOGICAL.","I think that's the first thing you've said (in this forum) that I agree with. Not only that, but belief in God is illogical.",2
"3671","I would either put them in an institute to determine why they committed their crime,","Some people commit crimes on accident, some do it for revenge, some do it out of fear, and some do it for fun.",2
"3589","For example, it's widely accepted that Judaism did not arise in a cultural vacuum, but that the ancient Hebrews borrowed theology and mythology from the Canaanites, Babylonians, and Persians.","And from the Egyptians. 
 
 I was skimming through a book last night called ""101 Myths of the Bible"" (IIRC) that explained how the Creation myth in Genesis (and many other myths in the Bible) was a modified form of Egyptian (and possibly, Bablylonian, etc. - I can't remember) mythologies.",2
"83452","Concepts do not ""come from"" somewhere, they are not physical entities and do not have physical properties such as locations, beginnings or ends.
 
 They do not require a creator, physical (the universe) or imaginary (God).","This is my thinking exactly. 
 
 Waxy",2
"8345","Concepts do not ""come from"" somewhere, they are not physical entities and do not have physical properties such as locations, beginnings or ends.
 
 They do not require a creator, physical (the universe) or imaginary (God).","This is my thinking exactly. 
 
 Waxy",2
"10541","Are you suggesting that belief in a devine being, whether real or not, who holds us accountable for our actions is a problem?","I think if Islamic fundamentalism shows us nothing else it's that...",2
"6571","Believing in stuff that there is no evidence to support is not LOGICAL.","I think that's the first thing you've said (in this forum) that I agree with. Not only that, but belief in God is illogical.",2
"18492","What if my own words and feeling sound just like that dusty book? What if I happen to agree with it? What if I take it in context? Actually one would be hard pressed to show where I have ever taken it out of context.
 
 If I say that I worship Him because he is powerful, beautiful and has loved me greatly, does that mean you now get to argue those points and say he is not any of those. I would say you do not get to argue my assumptions about God as they are mine. YOu may argue my conclusions based on my assumptions but you could not argue my assumptions, nor I yours. 
 
 Is that a fair statement of how to answer the question?","Well, if they are your own words,.. then it means at least have verbalised it from your self, rather than repeat like a parrot.",2
"7679","No one by the NAME of 'Jesus' EVER existed.
 Fact.","Actually quite a common name in South America... but I know what you mean.emoticon_xgood",2
"367","I would either put them in an institute to determine why they committed their crime,","Some people commit crimes on accident, some do it for revenge, some do it out of fear, and some do it for fun.",2
"87071","Is there a difference between secularism and atheism?","Yes. The US Constitution is secularist, but it's not atheistic.",2
"3747","Now the title of this thread, proposed by richbee. You reject a theory of multiple universes because of no proof, this is all agnosticism is. They say there is no proof of god so I don't believe for sure that there is one. They also know you can't prove there is no god so they are not convinced one way or the other. It's a lot better logic than you tried to use. Maybe you should just respect others' beliefs and realize that they've actually thought about their decisions and can do more than just quote a book and other people. You should be able to post quotes but you should actually put a little of your own knowledge and thought into posts as well. I doubt this will have any effect on you at all, but oh well I tried.","Right on.",2
"1054","Are you suggesting that belief in a devine being, whether real or not, who holds us accountable for our actions is a problem?","I think if Islamic fundamentalism shows us nothing else it's that...",2
"2228","Your answers were without content or meaning. There was no sarcasm.","k",2
"37072","Edit: Yea, shouldnt this be in the religion section...?","Perhaps",2
"3847","I used to go to church but now a days it has gotten phony like the Republicans","Well that proves his point doesn't it? If you can put up with the phony-ness of the church you can put up with the phony-ness of the republicans. :)
 
 edit edit: 
 I am too, btw emoticon_rolleyes",2
