"","quote_text","response_text","relation"
"4781","In the second paragraph, just because something is beyond us, do you not think we can relate to it at least in a rudimentary fashion if not in a perfected (complete) fashion?","Hmmm.... I think maybe it's possible to have a brief, fragmentary awareness of a higher order, a glimpse of something that is just too vast for the human brain to rationalise, but definitely not in terms of (for example) recieving ten commandments on a mountain, or a woman being impregnated with divine offspring, etc.
 
 It's possible that our brains could work like recievers, picking up fragments of the universal consciousness but if that is the case I think it is more likely to lead to madness than enlightenment!
 
 I said I have had no experience of 'God' but I have had (and some will scoff I know) bizarre, spiritual experiences on LSD and mushrooms, which I have only done a few times (before I get accused of being a spaced-out hippie!). The only way I can describe the experience is as a realisation that everything, all matter and energy, is connected in a fundamental way, and more than realising it you actually experience it, you experience being part of something all-encompassing, and once you are a part you are also the whole in its entirety. You lose all sense of self, and gain a new sense of something akin to omnipresence. Of course this may just be a hallucination entirely confined to the brain but it feels so real at the time that it's hard to know.",0
"4491","A good starting point is to get educated and be done with it....","Yes, After getting educated, we can realise that 'GOD' as we view it is just the anthromorphising of our hopes and fears.",0
"891","Fortunately, your beliefs are not facts.","Neither are yours. *GEE* *gasp* *amazement* *realization* 
 
 thistownwilleat-",0
"5149","Examples of logical absolutes are: something cannot be itself and not itself at the same time (Law of non contradiction). A thing is what it is (Law of identity). A statement is either true or false (Law of excluded middle). These are simple, absolute logical absolutes.","There are contradictions in the bible, for so the bible doesn't obey the law of non contradiction. 
 
 As to the law of identity, Jesus is called both the ""Son of God"" and the ""Son of Man"", which means 
 
 Also, many parts of the bible are taken as 'metaphors' - yet the law of excluded middle should prevent us from doing that.
 
 I'm sure someone will be able to refute my individual points, but on the whole the bible is not an entirely logical source.
 
 
 Furthermore, even if these laws were created by a God, this God does not have to be the same one described in any religion whatsoever. In fact, he doesn't have to be omnipotent, so he could even be dead - Atheists could state that God created these laws then died. In which case, God does not exist but Atheists have still accounted for the creation of said laws.",0
"9565","very true. logic exists whether people are there to grasps its concepts or not.
 
 where we disagree is at your assumption that god created logic. how can this be? logic is not contingent on any intelligent entity, whether it be man or god, to exist. the logic of increasing a quantity by adding to it would remain whether god existed or not. you have yet to tie the existence of logic to god as its cause","The atheist needs to explain how something can exist that's not material, cannot be observed, and is absolute.",0
"3295","This would disprove your atheism.","And you determined that I am an atheist exactly how?",0
"4116","aryan was more than, as you put it, ""just white""... and as a religion, the mortal enemy of the aryans are jews... you had to be a christian and hitler hated catholics... guess PROTESTANT is the only one left.","The first Christians were Jews. Anyone who claims to be a Christian but hates Jews is a XXXXX. An anti-Semetic Christian is like an oxymoron term. And an Aryan is supposed to be someone with blue-eyes, brown-hair, and light-skin. You don't have to believe in 'Aryanism' to be Aryan, and the mortal enemies of Aryans are not Jews. 'Aryans' may hate Jews, but most Jews aren't bigoted. By the way, Hitler did not like just Jews but others he considered 'inferior' to the 'superior' 'Aryan race.' 
 
 Do some actual research instead of pulling XXXX out of the air to conform to your screwed up opinions.",0
"8873","Oh Good Grief! It sounds very like you are extremely unsure of your manhood to be so threatened by a funny little story.","be quiet simone, if it made fun of women you'd be all over it.",0
"4950","I do think rape is wrong, but that is again, my view of things (a lot of others to, but shrug) because it forces someone's will upon someone else and it hurts them.","So then your worldview must be incorrect too...?",0
"4016","I like your thinking, although I disagree with it. You say that God is the universe. I propose that God is relational. That without a relational god we are truly hopeless. The problem you are running into is that you are trying to imagine god existing within the framework of creation (universe etc.) and tying his existence to that. NOw I am going to say something that will really not make sense to you. God existed BEFORE time. Chew on that one a bit. Eternality implies an existence outside of time. And in fact, much of science alludes to this possibility. I certainly could never prove it and do not propose to but would like it if you would consider the implications.
 
 As for God communicating to us, there is nothing that prevents that. Especially if you accept the idea that we are imago dei, image bearers of the divine. We are not perfect images but we are rational, emotional, spiritual, beings
 
 EF","Can you explain spiritual beings?
 
 I honestly don't know what that means.",0
"9498","And these concepts are something we invented","So before ""we invented"" the laws of logic they did not exist?
 Something could be itself and not itself at the same time, before ""we invented"" the law of non-contradiction?",0
"9431","""Back in the Roman era, Mithraism was perhaps Christianity's leading competitor for the hearts and minds of others. Today Mithraism is religiously a non-factor, but it still ""competes"" with Christianity, in another way: It is a leading candidate for the ""pagan copycat"" thesis crowd as a supposed source for Christianity.
 
 What has been the point of this diversion? The point is to give the reader a warning, to be on the lookout any time a critic makes some claim about Mithraism somehow being a parallel to Christianity. Check their sources carefully. If, like Acharya S, they cite source material from the Cumont or pre-Cumont era, then chances are excellent that they are using material that is either greatly outdated, or else does not rely on sound scholarship (i.e., prior to Cumont; works by the likes of King, Lajard, and Robertson). Furthermore, if they have asserted anything at all definitive about Mithraic belief, they are probably wrong about it, and certainly basing it on the conjectures of someone who is either not a Mithraic specialist (which is what Freke and Gandy do in The Jesus Mysteries) or else is badly outdated. 
 
 Mithraic scholars, you see, do not hold a candle for the thesis that Christianity borrowed anything philosophically from Mithraism, and they do not see any evidence of such borrowing, with one major exception: ""The only domain in which we can ascertain in detail the extent to which Christianity imitated Mithraism is that of art.""""
 http://tektonics.org/copycat/mithra.html
 
 Of course what I find even more disturbing than the errors of the copy-cat theorists, is the fact they seem to feel the constant need to single our Christianity for these sort of attacks. As if it has EVER worked to do so (it's nothing new), and as if it doesn't reveal a deep-seated prejudice. There's just no other logical reason for the obsession.","Well, you see, it is only Christianity that claims it is new and unique (it isn't though). It is Chrisitanity that is dependant on it's beliefs, (even the very mythical ones) being historically accurate. This wouldn't be a problem at all, except that Christianity also is a 'exclusive' religion, that claims that it is the only right way. 
 
 Of course, if you get a muslim in here making similar claims to the claims that Christianity makes, you will get an equal reaction from the same people who critize Christianity (for the exact same reasons)",0
"6992","Thiest: I believe in God?
 
 What is God as best defined by you?
 
 Describe the nature of God. What is it that you believe in?","SP: Hello again. I hope you are well. God is difficult to define. One would not expect a finite being such as myself to define clearly and completely an infinite being such as God. 
 
 However, as with any person God has defined himself. We all definie or identify, ourselves by various methods. What we like and dislike. What we do, where we go, where we have been. God has done this as well in the bible. He has mades statements about the things he likes and dislikes (The ten commandments for instance). He tells what he does (he is a creator for instance, He loves, he has mercy and grace.) He tells us where he has been (He is the God that is, was, and will be, in otherwords exists outside of time).
 
 There are other things naturally. I can tell you some because as a finite being I will take a life time getting to know him. This is true with any person. You cannot completely define your closest and dearest friend. It is impossible because people are infinitely complex. You can know your friend none the less. This is true of God as well. You have heard me talk about God on this forum for quite sometime. This is how God is defined. You ask an impossibly broad question. Sglaine seems to imply that theists will only hamper you with illogic when it comes to defining God and they will eventually say they don't know. I know some not all. So do you. This is right. To assume that we should be able to define God completely and accurately is illogical.",0
"2010","Thiest: I believe in God?
 
 What is God as best defined by you?
 
 Describe the nature of God. What is it that you believe in?","Your question itself is a problem. God is 'He who is', not a 'what'.",0
"7014","Worse, as Plato said, it is like a disease in the brain.","Let me get this straight. You are going on Plato saying that not beleiving in Zeus, Mars, Apollo, et al. is like a diease in the brain as supporting Christianity?",0
"790","I would say that agnosticism is the only rational position, based on verifiable evidence.","When making that evaluation, one should consider what kinds of evidence it is possible to find in support of or to contradict a hypothesis. 
 
 Consider the question: ""Are there any car keys in my kitchen?"", a question I confess to be dear to my heart at this precise moment. Right now you have no information upon which to base an answer. You should rightly be agnostic. But imagine you came to my house and ransacked the kitchen, turning out every drawer, emptying every cupboard, opening all the packets - even the sealed ones - sieving the flour, looking in all the cups and pots and pans, peering (though I don't recommend it) under the fridge, and still found absolutely no sign of any car keys - would you still consider yourself a car-key-kitchen agnostic? 
 
 The moral of the story is that the significance of an absence of evidence very much depends upon how much effort one has expended looking for some. It also depends upon the amount of potential evidence that isn't there.
 
 Returning to our original conundrum, there is no conceivable evidence we could ever find that would definitively prove a creator god does not exist, because a creator god, the way we define it, would be eminently capable of concealing his actions. So although there's no evidence that god does not exist, nor could there be, which rather takes the shine off the observation that there isn't any.
 
 On the other hand, we can imagine endless ways in which a god (faith-specific or otherwise) could be proved to exist. In biology, we would just need to find one organism with a unique amino acid, or that had something other than the common four nucleotides, or a non-vascular plant with seeds or flowers - the evidence we could find to disprove common descent is limitless. Yet we don't; Nature's kitchen has been forensically inspected for car keys, and they're nowhere to be found. In geology or astrophysics, we could find consistent evidence of a young earth, yet we don't. We could verify the efficacy of prayer - yet we don't.
 
 In other words, there's an absolute mountain of potential evidence to support the existence of a god (Christian or otherwise) and none of it's there, despite us looking really, really hard.
 
 As you've probably guessed by now, I don't agree that the only rational position is agnosticism.",0
"9590","You made the claim. Another lie from the radical cheap seats!","Occam's razor.
 
 Now lets hear your proof (as if you have any).
 
 emoticon_xkill emoticon_xangel",0
"4228","Yes I'm betting your asking me how I know about his teachings if I have never read the bible,","No, not really...",0
"6436","Women have been denigrated and made fun of for centuries. I've just gotten tired of it--and righteously so.","haha, so because of this you should make fun of men and not women? That makes no sense but I figured you'd say this.",0
"4502","i can not prove 100% that God exist, the atheist can not prove100% that God does not exist because absolute proof is not posible. However, theisn better fites the evidence than atheism.","Only if you make invalid assumptions.",0
"9052","Let me know when you learn how to manipulate the quote commands.
 
 I'll reveal part of my next reply right now. If I stick my hand in fire, I will get burned. This is a logical derivation...like If A, then B. It comes from experience and mother's teachings. It will not change. EVER! It is quite logical to assume that in the future, if you stick your hand in fire, you will be burned.","actually, thats not logic, but its closely related. of course, if you stick your hand in fire it will get burned. logic dictates that the sum of initial energy must equal sum of final energy. etc etc
 
 you are very right that logic is predictable and constant. this is exactly why logic diametrically opposes god. a body of water cannot divide itself and leave a dry path down the center unless god something to defy logical law. because gravity exists, its logical for water or any fluid to be drawn by gravity to the lowest level possible. there is nothing miraculous about the common and predictable properties of water under the force of gravity, so god isnt needed to explain it because logic already has
 
 if, however, that body of water behaves in a way that logic cannot explain, then we can almost positively assume that such is the intervention of god. the only acts that can be accredited to god, in the bible, are those where something illogical occured",0
"4798","I am not disputing that Christians forged texts that much is apparent from the historical sources, (Archie's obsession with theological sources is misguided here hence the comedy value of his posts, Does he really want me to slap him with the Mahabharata again? The compilation is a historical event with specific characters, thus his vague theological link misses entirely.) however that does not hold true for *all* the texts which have been omitted and the decisions were taken by individuals.
 Frankly I couldn't give a rats arse about it, it's an ancient historical footnote. However the amount of flak coming up from both ends of the religious spectrum does suggest I'm onto something and their continued attempts to redirect to the canon would suggest that there&#8217;s something in the omitted texts they're uncomfortable with.","Personally, I don't see what the big deal is. In my opinion (as someone who has read a lot of the early church writings) it is clear from writings of very early people like Clement, Ignatius, Justn Martyr, etc that what we consider orthodoxy was indeed orthodoxy from the get-go, and so it is only fair that they had some sense of wanting to keep out writings that they didn't consider accurate or genuine. People sometimes bring this us as if it indicates something bad about Christianity or early Christianity, but why should they have allowed writings into the canon that they considered spurious? (Now whether the canonical writings we have are spurious too is another debate--the bottom line is that THEY--the early Christians--didn't feel at the time that the NT books in our canon were spurious for the most part.) 
 
 Now one of the things people will sometimes say is ""well, THOSE Christians won the day, and the Gnostics/Arians didn't, so there may have been gnostic or Arian writers that got suppressed so we don't really know."" Well, you could ALWAYS make that argument about ANYTHING. We don't come to hard conclusions based on material for which we have no idea was there--a speculative basis--we come to hard conclusions based on what IS there. Sure, there's a general understanding with history the winners write the history, but that doesn't mean we go back and fill in blanks or overwrite what we accept with speculation.",0
"8526","Then your argument too is flawed by the same principals of debate.","Because? The conventional big bang is just as unlikely as God. Therefore your claim is wrong. 
 
 However the current believe mainly among physicists and astronomers is that there is no end and there is no beginning to the universe. Expansionary theories along with contractionary theories that are being observed have led many to believe that the current universe was born from the death of the last universe. There is no end and there is no beginning.
 
 You are out of your league.",0
"9239","Is that not agnostic? You leave yourself open to change if evidence dictates it. 
 
 Sorry if this is just turning into word games.","Not answering for trebor - this is my two-penn'orth.
 
 If you're going to describe anyone 'open to evidence' as agnostic, then this is a word game: there'd be by definition no (reasoning) atheists in the world. The (negative) atheist position is that in the complete absence of evidence to believe that a proposed entity exists, withholding belief is the default position - as with sinjin's leprechauns. To call that agnosticism has always struck ne as mealy-mouthed: I'd rather come right out and declare myself an atheist (the negative or 'weak' variety, like Big Bear Scot).",0
"345","And to think that the God in question needs someone to acknowledge their presence as their lord and master before this all covering evil falls away,","The only person who can take away your sin is God. No human can ever cleanse himself of his sins, so get over it.",0
"3889","I have a strong dislike of evangelical christianity, not christianity in general. A christonazi is someone who uses the christianity for political gains or someone who has a fanatical view of christianity. I am a member of an ELCA church, you know a liberal church with liberal and progressive views of christianity. I have even organized and run several VBS's.","But there are some evangelical Christian churches that don't do that. You don't seem to understand or recognize that evangelicalism is a very varied movement.",0
"2220","Of course, if you get a muslim in here making similar claims to the claims that Christianity makes, you will get an equal reaction from the same people who critize Christianity (for the exact same reasons)","But people start threads here all the time against Christianity regardless of whether someone claims something here about it or not. It's prejudice, pure and simple, and you're no exception. Now, one would think, being the supposedly non-Christian enlightened person you are, you would simply say ""oh, I didn't realize that my posts came across as anti-Christian sometimes, and that it indicates a prejudice on my part, and will try to not have prejudices in my thinking."" I mean, one would think those of you are do this sort of thing would be happy that someone had pointed out the obvious prejudice going on, as it would be a case to help you move away from prejudicial thinking.",0
"1413","This statement is wrong... Thats proof for me that Jesus existed and that he is God...","Your penultimate sentence sums this up well with the emphasis that I added. What you describe is sufficient 'proof' for you to believe. Why? Because you believe. Other than the Bible (which is far from being an accurate historical textbook) from where do you obtain the evidence of these prophets and their prophecies? 
 
 I am not discussing the God/Person of Jesus specifically. I am not discussing whether or not Jesus is the Son of God, who rose from the dead in atonement for our sins and the sins of the whole world. (Which, incidentally, I believe.) I am discussing the God of the Hebrews (or any other god for that matter). To believe the prophesies of which you speak, one must have faith. To believe that Jesus actually rose from the dead and ascended into heaven, one must have faith. There is no physical evidence that I am aware of to indicate that it did happen the way the Bible said it happened... except for in writings of human beings allegedly inspired by God. It takes faith to believe that those human beings were inspired by God. It takes faith to believe that what they describe actually happened the way they describe it.
 
 What I can say with certainty that cannot be disputed as far as I'm aware, is that whatever happened... happened. If a woman named Mary was impregnated by the Holy Spirit and conceived a child that she named Jesus who was crucified, died and buried, only to come back to life three days later and ascend into heaven after 40 days... then that's what happened. I believe that's what happened, but there's no physical evidence to prove that's actually what happened. It takes faith to believe.",0
"8248","What's your point? Unicorns breathe toxic gas and have low density, so they can get around all they want.","And God lives in Heaven, with Jesus sitting on the right side of Him.",0
"51","Women have been denigrated and made fun of for centuries. I've just gotten tired of it--and righteously so.","Did you think we'd all catch your deliberate misuse of words or are you a blonde?
 
 ...can't be both!
 
 Both men and women have been denigrated and made fun of for centuries...men are just better at denigrating and making fun.
 
 I think the Cherokee Indians had the right idea.emoticon_xgood",0
"7674","basically, something with logical necessity must exist in every reality, including ours","If this thread is intended to be read only by those with a technical expertise 
 in logical analysis, then my low-tech approach will make you groan. However,
 I'm still puzzled by the idea that ""logical necessity must exist in every reality""
 when this idea is applied to a particular problem. I can see that 
 interior to logical reasoning, ""necessity"" must exist in every reality - otherwise 
 what we understand as ""logic"" would not be that but something else.
 To simplify: 
 All my friends are Irish
 Sheila is my friend
 So Sheila is Irish. 
 (The same sort of logical necessity applies (I think) to propositions involving
 mathematics: 6+2 = 8 cannot be refuted because 6+2 is just another way
 of writing 8.)
 As Sheila exists in the real world, the information about her contained in the
 syllogism also happens to be factually true.
 But the necessary truths of logic including the proposition that God exists,
 are deduced from applying the rules of logic and are not necessarily factual
 truths and seem to have the same status as Sheila would if she existed only as an idea.",0
"4124","Gallileo was arrested for proposing the Earth revolves around the sun which was against the church.","False, since Copernicus had already propsed same, it was really because Gallieo was a jerk with the Pope and Church authorities. No one else was treated like him. He was a ""special"" case. - Click Here",0
