"","quote_text","response_text","relation"
"2034","How can absolute, conceptual, abstract laws be derived from a universe of matter, energy and motion?","Stated above.",1
"9456","i mean jesus christ (pun intended)... look at what you posted in response to ""i believe in the teachings of jesus christ."":
 ""that's a vague statement.""","Jesus Christ! (Pun intended) That's not anger, I'm saying that he made a vague statement and he should elaborate on it. Someone could believe in some of the teachings of Jesus, but not be a Christian. Someone can believe in everything Jesus said except for him being the Son of God, and not be a Christian.",1
"77","Your quiz consists of two multiple choice and an essay question. Let's begin:
 
 1. Jesus was:
 A. a myth; invented by heretical Jews, he never existed.
 B. an ordinary man who attracted a following by performing ""tricks"" and making interesting statements; disengenuos and decieving his followers
 C. an amazing moral teacher, nothing more
 D. a complete madman.
 E. Other (limit your response to 50 words)","1, A. Myth; 
 Whilst there may have been a person leading a Jewish cult that may even have been excuted, none of the miracles have any basis in fact.",1
"5408","But your new language would be meaningless. [cut more XXXX]","Some mathematical definitions can be precise, but then others can be unprecise, because of one little thing a person like you would never be able to understand, and that is, humans are not perfect.",1
"3232","I hope there's a way to leave feedback for the fine folks at Dictionary.com. Atheism has nothing to instruct us in immorality.","And I have left them feedback to see what happens. I noticed this particular entry was sourced from The American Heritage® Dictionary of the English Language, Fourth Edition so it is not something Dictionary.com wrote. 
 
 I can see Iuris' point but the entry is still laid out wrong if this is the case. As written, ""Godlessness; immorality"", implies that immorality is synonymous with godlessness but the thesaurus entry for godlessness does not list immorality as a synonym. I think this is because some use the term ""godless"", an adjective, to mean immoral but ""godlessness"", a noun, to mean atheistic.",1
"1320","I have to ask: do you seriously not know, or do you just want him to up and say it?","Oh, I know what he is trying to establish there.
 
 I do want him to own up and admit what he is trying to establish. Don't expect him to, but hey, ""miracles"" happen (according to him). :p
 
 In fact, as a return question, I'd like to ask him: does someone rely on the Odyssey to establish the existence of Pallas Athene, Circe or Calypso ?",1
"9597","Surely this question be easy enough to answer. 
 
 Any rational thinking thiest want to give my question a shot?","Well I'm neither rational nor a theist, but still!
 
 I could put in a comment about what I personally believe the nature of God to be, but I'm sure you've all heard it before so I won't bother!
 
 In the end I don't think it is an easy question to answer, it is asking to define the undefinable. Humans are limited creatures, we can give a dictionary definition of these things, we have a rough idea of the concept of infinity but can never begin to truly comprehend or define it.",1
"6806","Objective Moral values","Well, we can go through a list from Live human sacrifice, infraticide, slavery in the Roman empire, to sexual morality, and the treatment of Wmen - Mother's and their children.
 
 We might need a new thread for this topic!
 
 Most elucidating, and worth quoting is:
 
 In the Syballine Oracles, written by an Egyptian Jew probably between 163 and 45 B.C., the author compared Jews to the other nations: The Jews 
 &#8220;are mindful of holy wedlock, and they do not engage in impious intercourse with male children, as do Phoenicians, Egyptians, and Romans, specious Greece and many nations of others, Persians and Galatians and all Asia.&#8221; 
 
 And in our times, sex historian Amo Karlen wrote that according to the sex researcher Alfred Kinsey, &#8220;Homosexuality was phenomenally rare among Orthodox Jews.&#8221; 
 
 To a world which divided human sexuality between penetrator and penetrated, Judaism said, &#8220;You are wrong &#8212; sexuality is to be divided between male and female.&#8221; 
 
 To a world which saw women as baby producers unworthy of romantic and sexual attention, Judaism said, &#8220;You are wrong &#8212; women must be the sole focus of men's erotic love.&#8221; 
 
 To a world which said that sensual feelings and physical beauty were life's supreme goods, Judaism said, &#8220;You are wrong &#8212; ethics and holiness are the supreme goods.&#8221; 
 
 A thousand years before Roman emperors kept naked boys, Jewish kings were commanded to write and keep a sefer torah, a book of the Torah. ....nothing moved me more than the Talmudic law that Jews were forbidden to sell slaves or sheep to non-Jews, lest the non-Jews engage in homosexuality and bestiality. That was the world in which rabbis wrote the Talmud, and in which, earlier, the Bible was written. Asked what is the single greatest revelation I have derived from all my researches, I always respond, 
 i &#8220;That there had to have been divine revelation to produce the Torah.&#8221; 
 
 The Torah was simply too different from the rest of the world, too against man's nature, to have been solely man-made. 
 
 The creation of Western civilization has been a terribly difficult and unique thing. It took a constant delaying of gratification, and a re-channeling of natural instincts; and these disciplines have not always been well received. There have been numerous attempts to undo Judeo-Christian civilization, not infrequently by Jews (through radical politics) and Christians (through anti-Semitism). 
 
 The bedrock of this civilization, and of Jewish life, has been the centrality and purity of family life. But the family is not a natural unit so much as it is a value that must be cultivated and protected. The Greeks assaulted the family in the name of beauty and Eros. The Marxists assaulted the family in the name of progress. 
 
 Judaism&#8217;s Sexual Revolution: Why Judaism (and then Christianity) Rejected Homosexuality - Click Here",1
"8347","an unbreakable rock cannot exist, simply because its illogical, not because of God's will. as long as something is classified as a rock, or any other solid for that matter, it can break. in the same way God cannot create a round square. 
 
 then again, God can set limits on himself, in that he can create a situation that he himself cannot revoke. in a way it is similar to the hard rock question. for instance, God cannot undo his word. if he says something will happen, or never happen, then it can never be undone. according to genesis, one of the things God cannot do is destroy the earth by water. in this sense, here is something God cannot do. by God's own declarations he limits his possible actions. but it doesnt make him less than omnipotent. he still possesses the ABILITY to destroy the earth by global flood, but he cannot because he cannot lie, and for every declaration he makes, its one more thing he cannot do","Good point.",1
"5233","No matter what religion we are, we are human, we stray, we sin, WE ARE NOT PERFECT. But many religions preach forgiveness for sins. God forgives.","I'm perfect.",1
