"","quote_text","response_text","relation"
"64231","http://www.bloomberg.com/apps/news?pid=10000103&sid=awia81URdshw
 
 Who the hell is he to say the love between my partner and I of 8 years is weak?! It's stronger than many heterosexual couples.","You forget, Popeman has the power of infallibility",2
"5725","It becomes somewhat irritating to deal with people who's ignorance is matched only by their arrogance. Election day saw a sweeping repudiation of legally sanctioned same sex marriage in 11 different states, including relatively progressive Oregon. This follows similiar votes for amendments defining marriage in California and Missouri. What does this all mean? Well, for starters, it indicates that a federal marriage amendment has a fighting chance. It should remind us that sanctioning gay nuptials hasn't one thing to do with the oval office occupant.
 It is well known, or should be known, that the process for amending the constitution does not involve the President.
 
 The Amendment Process
 
 There are essentially two ways spelled out in the Constitution for how it can be amended. One has never been used.
 
 The first method is for a bill to pass both halves of the legislature, by a two-thirds majority in each. Once the bill has passed both houses, it goes on to the states. This is the route taken by all current amendments. Because of some long outstanding amendments, such as the 27th, Congress will normally put a time limit (typically seven years) for the bill to be approved as an amendment (for example, see the 21st and 22nd).
 
 The second method prescribed is for a Constitutional Convention to be called by two-thirds of the legislatures of the States, and for that Convention to propose one or more amendments. These amendments are then sent to the states to be approved by three-fourths of the legislatures or conventions. This route has never been taken, and there is discussion in political science circles about just how such a convention would be convened, and what kind of changes it would bring about.
 
 Regardless of which of the two proposal routes is taken, the amendment must be approved by three-fourths of states. The amendment as passed may specify whether the bill must be passed by the state legislatures or by a state convention. See the Ratification Convention Page for a discussion of the make up of a convention. Amendments are sent to the legislatures of the states by default. Only one amendment, the 21st, specified a convention. In any case, passage by the legislature or convention is by simple majority.
 
 It is interesting to note that at no point does the President have a role in the formal amendment process (though he would be free to make his opinion known). He cannot veto an amendment proposal, nor a ratification.
 
 In spite of this, opponents of a marriage amendment acted as if defeating Bush would spell the death of such a proposal. Apparently, it's easier to identify a single scapegoat or hold up an unworthy strawman for condemnation than it is to recognize that there is an overriding public sentiment against alternative lifestyles being officially sanctioned.","I've seen people (on TV:)) who would actually know about such things say that the fact that these things passed in these states pretty much spels doom for any possible constitutional ammendment. Don't ask me how they figure this. It's just what they were saying.",2
"76311","There are quite a few gems in there.
 Quite a few people who God supposedly ""divinely"" helped, but he didn't mention any problem with their polygamy (700+300!), incest, etc?
 And that's not counting the examples of him ordering genocide, but sparing the virgin women so they could become baby factories...
 ... or ordering a policy whereby if a woman is raped, the rapist gets to pay a few shekels and marry the rape victim.... emoticon_xdonno","Well, that's because all those things happened during the Age of Law (the god of swift and harsh justice bit), whereas now we're in the Age of Grace (the god is all-forgiving bit), so . . . . er . . . hang on a minute.",2
"6412","and the nutty professor from UC San Diego Simon LeVay who's myopic bent to show... and who's grant was provided to show that there was a genetic cause, failed miserably in doing so. His findings were inconclusive... biased and his study groups and samples were doctored.","You have this habit of making sweeping claims with little to no substantiation.
 And even if we were to completely ignore LeVay altogether, there is MOUNDS of other evidence showing a genetic cause.
 Like I keep pointing out, but nobody on your side of the fence seems to realize, NARTH's OWN CITED REFERENCES say there is a genetic cause!",2
"10451","Hi, Matthew, I understand and share your frustration and anger, but the enemy isn't married heterosexuals. It's Christianist bigots. You won't achieve anything trying to attack straight marriage -- as an institution, the only ones who can undermine it are straight people who choose not to marry. I guess I just can't see the point of this particular thread.","Just wanted to repeat that cause it warranted repeating.",2
"8452","Should the Georgia General Assembly go back to law school or what?","They can go somewhere( feel the heat) but law school would not be my first choice.",2
"13351","(Los Angeles, California) California Democrats have wrapped up their annual convention with a resolution supporting same-sex marriage. 
 
 ""The California Democratic Party is now a leading partner in statewide efforts to ensure that all California families enjoy the legal protections that they deserve,"" said Eric Stern, National Stonewall Democrats Executive Director who addressed the convention. 
 
 The resolution calls for civil marriage to be extended to same-sex couples. It passed unanimously and as the vote was being taken many delegates displayed signs that read ""AB 19"" in support of an assembly bill that would extend civil marriage to same-sex couples. The legislation was recently introduced by Assemblyman Mark Leno, an openly-gay Democrat from San Francisco.
 
 The vote makes California the fourth state Democratic party to officially call for marriage equality. The Democratic parties of Massachusetts, New York and Washington State have all expressed support for marriage equality, either by resolution or through a state party platform.
 
 The Religious Freedom and Civil Marriage Protection Act, authored by Leno, is expected to pass through the Assembly Judiciary Committee on April 26.
 
 The legislation would allow gays and lesbians to marry while protecting the rights of churches opposed to same-sex marriage to refuse to perform the weddings.
 
 It also has the support of the NAACP","But of course, according to one singularly deranged poster here, it's the Republicans  who are truly pro-gay (they just can't show it, doncha know), while the Democrats are just paying phony-baloney lip service to us...",2
"172","Actually I have no problem with civil unions as long as civil unions replace the marriage certificate.
 
 Besides it will backfire on them the first time some one is denied something because they aren't married and have a civil union this will be back in court. I aslo would like to see the language to see if there is any penalties for those who do not treat the civil unions as marriages.","Excellent point. If the government only gave civil unions to everyone (heteros and gays alike) and the churches got to do the religious side of it, Civil Unons would be excellent. Unfortunately, those opposing gay marriage would never agree to such a thing.",2
"2171","Here in New Hampshire, not known as a bastion of liberalism, Civil Unions passed the state legislature this year. I am now covered under my partner's state sponsored (he's a state worker) health insurance. We are grateful.","And this is a terrific breakthrough. My partner and I are coveered by my company's health insurance, and the state of Connecticut honors our Civil Union. That being said, I still have to pay tax on my partner's health insurance as imputed income because the federal government refuses to acknowledge our union.
 
 So it has to be marriage. Full and without exception.
 
 Civil Unions are not enough when we are treated differently under the law.",2
"29262","What amazes me is someone could actually believe a constitutional ban on gay marriage is in anyway a contributing factor to divorce rates.","Even though I am for gay marriage I do agree. Correlation is not causation.",2
"4023","I have tons of pics of my ""wedding"" in September and I look like a dork in everyone one of them. Every single shot, I have some dumb goofy expression on my face..... I have deep sympathy for anyone who has to look at pics of their own ceremony if they hate the pics of themself","I know what you mean, my Girlfriend says I always put on a goofy grin every time I get my photo take or if I don't do that I seem to close my eyes just as the picture is taken.",2
