"","quote_text","response_text","relation"
"61","Spain is a Roman Catholic country so I doubt if approval of gay marriage will come to pass although with a socialist government I might be wrong......It could be forced down their throats........","I know it would against your very nature, but you might want to look up a fact or two before speculating.
 
 Only 26% of Spaniards object to same-sex marriage. Polls show support at between 65 and 70%. Among the young, it exceeds 80%.",0
"981","Most state constitutions that I have looked at expressly protect the right of the ballot initiative. We are, of course, limiting ourselves to state laws since the federal government has absolutely nothing to do with marriage.","That's not quite true either. Federal laws grant many rights and privledges to married people. The feds may not have a say on who can get married, but there are federal laws that benefit married people.",0
"9061","Sheesh, whatever happened to good 'ol Dr. Seuss?","I think if you pay any attention, you'll find only hetero characters in Dr. Seuss. I'm sure if there were any suggestion of gay Whos for Horton to hear, the right-wing, anti-gay, pseudo-christians (specific enough for you?) would be trying to ban Seuss, too.",0
"6616","Give me a break!! ""lack of modesty""? Oh come on now. Like every other European country, Portugal is not void of nude beaches, child sexual abuse scandals {http://www.propagandamatrix.com/121003portugalchildsex.html}, 
 condom vending machines in public areas {http://www.portcult.com/Portugal.15.SEX_SEXUAL_HABITS.htm}, porn, and registered prostitution. 
 So, don't even try to tell us how prudent Portugal is, because that's just bull.","You and Bob just can't seem to contain yourself everytime I post, can you? It's becoming quite a pattern. You two should get together for tea sometime. emoticon_xangel 
 
 I never said Portugal was perfect, now did I? But I've been there and it's certainly a lot less flagrantly sexual in it's culture than the U.S.",0
"2007","However, at some point the will of the majority should be respected. Otherwise we have no business even calling ourselves a democracy (not that we technically are, but we at least fancy ourselves one). Whenever a decision does not go our way, the first reaction should not be turn to the courts especially since there are other methods at your disposal.","I think it would be more valid to say ""Whenever a decision does not go our way, the first reaction should not be turn AGAINST the courts ...""
 
 And what other ""method"" is there for the minority who has the majority oppressing them?
 Is the minority supposed to turn to ""democracy"" for protection?
 Democracy was part of the reason they were being discriminated against in the first place!",0
"7420","So you support the idea of the government forcing or endorsing families that ""raise their children the right way?"" And who gets to define that right way?","I know I am raising my away as far away from the ""right"" way as possible.
 
 Get it?
 
 wuka wuka wuka",0
"2903","I would like to point out that it was hardly a land slide. Current admninistration is not as popular as either Reagan or Clinton was. This nation is divided. Nothing is dead.","George Bush won the majority of votes (the first majority winner in 16 years) in an election with the highest turnout in US history (<117Million voters). The Senate Minority Leader was defeated by a nobody. Democrats lost at least 3 seats in each of the House and Senate, something that never happens in a Presidential election year. This gave the Republican majority in both branches of Congress even more control. 
 11 Liberal ballot initiatives went down in flames by huge margins. If liberalism ISN'T dead, then it's in ICU on a heart and lung machine. emoticon_rolleyes",0
"6271","Come on JP really. So what happens when opportunity is not equal? What is the point of doing anything to solve a problem if there is a disregard for achieving measurable results. The whole point of creating an equal opportunity is to correct an imbalance. What type of results, if any, would be acceptable? I didn't say the government is always right or the intended goals are always achieved. That is our fault for putting people in government with the intelligence of carpet and then allowing them to stay.","It's not my responsibility to ease job requirements so that an underachiever can reap the same rewards as an achiever. That's not my idea of equality.",0
"7881","Notice he is from a baptist church. The most bigest<term that has been banned<are baptists or catholic.","Really??? Maybe you should do a little research before you make sweeping statements like that. -- http://www.rainbowbaptists.org/",0
"8966","Gee.
 Sounds like one of my arguments you keep ignoring... emoticon_rolleyes","Well ... that does tend to happen when you waste time arguing the obvious as if it were a rebuttal to anything. Maybe rather than being argumentative to the point of arguing over things that are pointless and that no one disagrees on, you could thoughtfully discuss things that people don't see eye to eye on. You might get better results from people that way.",0
