"","quote_text","response_text","relation"
"79","I
 Should the Georgia General Assembly go back to law school or what?","Maybe they did it on purpose? They push through the amendment to quiet the RR while the issue is a hot botton topic, but make sure it's unconstitutional so that it'll get shot down.
 
 Just a thought.",1
"1808","I also understand Conneticutt is ready to pass legislation approving civil unions for same-sex couples without court intervention.","I think they should, and I hope it passes. I have no problem with civil unions for gay couples, and Kansas should have allowed it too.",1
"4153","There is no reason to perpetuate these harms. I have heard many arguments opposed to same-sex marriage, but there is not even one of them that justifies these harms. In fact, I would even say that there is not one argument against same-sex marriage that makes logical sense at all. Thus, even if same-sex marriage brought no benefits, there would be no reason to keep it illegal; a free and equal society does not deny rights or benefits to anyone, unless it has a very good reason to. And there just isn't any reason to deny rights and benefits to same-sex couples.","Well, its not just morally wrong in America, but its morally wrong in the middle east as well. And i think that if we continue our way downward morally as a nation, it would give terrorists even more hate for america because we are supposedly a ""christian nation"" and dont live morally.
 
 anyways.",1
"6487","What do you see as your enemies view point? Is your only opinion that the view of your enemy says: gay marriage takes away the value of a regular marriage? If this is the thought we are debating why did you not answer the other two questions?","Yes there is honor in marriage but we are talking about a piece of paper that defines who is considered your family in the eyes of the law.",1
"9827","DC has a law that human and civil rights can not be put up for a vote ...","The issue of whether or not gay marriage is a 'human' / 'civil' right is begging the question ...",1
"9631","I wouldn't say most cjurches, because you cannot prove that. There is a long list of churches that are accepting of gay folks.","And so does the Catholic Church.........They accept the homosexual but still condemn the homosexual act as they would any other sin.......",1
"3121","true, but do you see a diffrence in consentual acts and forced acts?","Yes and can you see there is so many things that are consensual liek polygamy, under age sex, prostitution.",1
"674","Just thought I would ask (for fun), what are your ideas for a same sex wedding ceremony that is not religious and is also not to ""heterosexual"" but is still is a nice ceremony? In other words, what pieces of a ""traditional"" ceremony would you keep and which would you decide are too ""hetero""?
 
 I am sure this question seems bizarre but I thougt that would make it more thought provoking, not to mention I am serious. I am going to have a ceremony and was looking for ideas. Figured you guys might have some at the same time debate the issue of what makes a ceremony or union similar and different.","Here are a couple of sites that might come in handy: 
 
 http://www.gayweddingresources.com/
 
 http://www.rainbowweddingnetwork.com/
 
 http://www.pridebride.com/gay-lesbian-marriage-planners.htm
 (although this site is directed mainly towards lesbians, I thought it might come in handy)
 
 http://www.twogrooms.com/
 
 http://www.gaynewengland.net/id92.html
 
 http://daemon.co.za/node/view/97
 (this one is fun, it's all about wedding etiquite and traditional/non-traditional supersticions....)
 
 
 Hope these help....CONGRATS!!!    
 
 Ps. I better get pictures!!!",1
"8054","Every child needs a mom and dad if at all possible. Research has proven this. Our prisons are full of children with no fathers in their lives!! Two moms or two dads has never been proven necessary.","You might want to consider talking to the children of gay people about their parents. You could start with mine. When he hears arguments like yours - his response ""shame on them."" He's 11, but he gets it, and finds your point of view as repulsive as racism. ""You don't need a weather man to know which way the wind blows."" ~ Bob Dylan",1
"4563","Originally Posted by jyoshu
 I want to learn more about this issue.","Lets start simple then, I teach you the first thing you need to know. It isn't just a behavior. Being gay is about emotions, not behavior. As soon as you learn and understand that first rule, I will suddenly have more respect for you.",1
