"","quote_text","response_text","relation"
"9944","http://www.washingtontimes.com/apps/pbcs.dll/article?AID=/20070717/METRO/107170041/1004
 
 
 
 I didn't think they would have the guts after getting slapped so badly last time out. I mean, there is loosing a case, and then there is getting kicked up and down the street and dragged through a field of tacks, which is pretty much happened when last time out.","This is the ""right"" SCOTUS to hear the case, IMO. ;)",2
"3143","anybody heard that the city of san fransisco is talking about banning the ownership of guns by anybody other than police in the city limits. if so, how true is it and how do you think it will stand up to the constitution?","I believe I read this in the paper a few days ago, but I think the ban will be similiar to DC's in that it will ban handgun ownership.
 
 As for the constitutionality of this? Since when have the Gun Grabbers ever worried about the Constitution?",2
"40091","I wonder, how do all the other democracies manage to survive without the protection of a heavily armed citizenry? Does this mean that the found fathers of America realised that they were not to be trusted?","YES! the founding fathers realized government was to serve the people it governed. With out a set of rules that limited the government it would run wild (as england did). They made the bill of rights and constitution so that it would limit the government (to keep it from becoming too powerful, and overstepping it's bounds). And the only way the constitution could actually be enforced was for the population to uphold it.
 
 Back in the time of it's writing they probably saw the best way for a population to force a government to not over step it's bounds was to force it... er... by force.
 
 Today in the information age, a much better weapon is our right to vote. Sweeping changes can be implemented with out the use of force using the system.",2
"45871","I agree. These laws limiting magazine capacity are based on stupid assumptions that are based on Hollywood (think drive by Hollywood). The average shooting involves less than 5 rounds fired. So limiting the capacity has no affect on crime.","Well, I have heard people on the pro-gun side say that most defensive gun uses don't involve firing even one round. So limiting the capacity would probably have less of an effect on the ability to defend yourself than on crime. So why are people from the gun lobby always whining about restrictions like this? When semi-automatic rifles were banned in Australia, hunters welcomed the law. They saw it as a challenge because it takes greater skill to shoot an animal with a bolt action rifle. Not so in America where some gun owners like to use guns that could take down planes to shoot small animals.",2
"46691","California may have to cut prison population by 40 percent 
 So how can THIS end up good? How do we fix this? 
 
 What? More gun control? emoticon_smile","Probably part of the dems' voter registration drive. Their new plan is to let convicted felons ""restore lost voting rights"". They probably have a conflict of interest on restoring all civil rights, just the one that helps them get elected and re-elected since that is a major portion of dems anyway...",2
"3871","Well here is an example of guns and lies. I am a law abiding citizen with a valide carry permit. I am going through a very bad divorce. My wife is on drugs and I'm trying to get full custody of our daughter. Well she didn't like the idea too well so her and her father lied to the police and took a warrant out on me for aggravated assault. They said I put my hand on my gun and made a threat (which I never did). They seized my gun and arrested me. Well several months later I'm still awaiting trial on a hear say case with no evidence!!! Its stories like this that makes me sick! People being arrested for crimes they didn't commit and there rights being taken away over some petty high school BS! Where are the laws to protect the innocent from people like them?","There are none. Men are automatically assumed guilty whenever the wife or girlfriend is involved.",2
"99612","""To announce that there must be no criticism of the president, or that we are to stand by the president, right or wrong, is not only unpatriotic and servile, but is morally treasonable to the American public."" - Theodore Roosevelt","I see that you have adopted my signature line (slightly misquoted). I will yield to you and remove mine today. We must agree that Teddy was a great Liberal President.
 Dono",2
"5862","the only case that I know of in which a court has ruled that the second amendment is an individual right is US vs Emerson. On the other hand, I know of more than thirty cases in which the courts have supported the militia interpretation of the second amendment.","Exactly. Moreover, in Emerson the discussion of the 2nd Am. is dicta (arguments not pertinent to the verdict) so it is not a binding precedent even for the courts in the same Circuit.
 
 A question for the ""original intent"" crowd:
 
 What did the Founding Fathers intend with the misplaced comma in the 2nd Amendment?",2
"4612","Im shuddering thinking about all the accidental deaths related to children.","I believe the large majority of such deaths occur among inner city kids who don't know anything about guns except for what they see on TV and movies.",2
"9152","There are good reasons for those laws and I bet none of those laws effect you much. You still got your guns so stop whining. But rich people stole my freedom for forty hours a week for many years. look at the big picture","Oh yeah, sure, your rights have been violated by companies requiring you to work 40 hours a week! Would somebody be so good as to call the ACLU for Brady so he can get a lawsuit going which claims that having to work is a violation of his fundamental human rights and is unconstitutional?",2
