"","quote_text","response_text","relation"
"7583","Your claim is also sunk by the fact that in states with shall-issued concealed carry, people don't just start killing each other when there's a traffic accident. They're not getting out of their cars, yelling incoherently and then pulling a piece to fill the other full of holes for having the nerve to bend their fender.
 
 There are no wild west shootings in store parking lots over somebody snagging a prime parking spot that somebody else was trying to get but was just too slow.","What's that? ""Wild west! Wild west!""? But I digress...
 
 You appear to be exaggerating my position, exactly as I suggested a pro-gunner would likely do; in my very first post in this thread. The fact that guns don't trigger aggressiveness to the extent you exaggerate doesn't change the fact that they do increase it by a measurable amount.",0
"211","I suppose we could fine people for leaving firearms in their cars like parking tickets until they get the message that vehicles are not secure ways of protecting your firearms.","And what all would they have to go through to get a CCW compared to a firearm? I don't need a list, just state how easy it is to get a CCW compared to getting a firearm. Like ""easier"", ""same"", ""not as easy"", ""getting a gun automatically gets you a CCW"", etc.",0
"1141","Senior citizen yachties stand little chance of defending themselves against pirates. 
 Piracy needs to be dealt with using military might.","And you think the British would do that?",0
"1426","""He said the ruling would affect those in jail for three or four months because of parole violations, 
 those getting early release dates, and those who might qualify for early release for taking part in rehabilitation programs.""
 
 sinjin - Sounds like primarily drug offenses. Nothing about guns.","IOW, you don't have a clue. The usual nothing just a WAG. I am surprised NATO bit on a line like that? Perhaps he thought you actually knew something emoticon_xgood",0
"7926","Even with the Supreme Court ruling, Sinjin and Chet have said otherwise... on the day this was posted!","Were they assigned the ultimate task of interpreting the Constitution and determining which laws violate it? If not then their opinion doesn't matter.",0
"2236","Arguably, the language of the Second Amendment is ambiguous. Thus decades of controversy about its true meaning. But in Heller, Scalia decides that the court, not the people, should clarify such text..","Look over the Heller ruling again. All nine judges agreed unanimously that the Second Amendment protected a right that was wholly individual in nature. The only disagreement was whether the right still applied today.
 
 And no, the individual states and cities shouldn't be allowed to set their own standards for a constitutional right, that flies in the face of the 14th Amendment. And worse, you're arguing for precedent that would basically allow the various states to not respect your other rights; they could ban the shirt you choose to wear because it's offensive to some small, insignificant minority somewhere.",0
"4578","In developed nations with stricter gun laws there are less murders.","Is supposed to be logical but is a fallacy oft repeated to lure unsuspecting readers to your conclusion without any factual evidence.
 
 It is similar to the claim ""stricter gun laws prevent suicides"". We know this is false from Japan's history and statistics. We also know from criminologist and sociologists that method substitution does nothing to prevent suicides. In fact, in kanada, suicides increased with stricter gun laws...another failed experiment.
 
 YOUR hint of ""developed nations"" is misleading and by presentation you try to lure the reader into thinking that gun control only exists in ""developed nations"" as if there is a superiority in people who inhabit them. 
 
 Tell you what star gazer, list the ""undeveloped nations"". I would say your nation is barbaric and undeveloped :) At the very least, you demonstrate it is uneducated :)",0
"1256","What's the point of posting a bunch of propaganda from some biased website? Your whole post proves nothing because it doesn't show a causal relationship between gun control and mass murder. How come Sadam Hussein was able to kill so many of his subjects although gun ownership was common among the Iraqi public? I suppose we could find a way to blame all the world's problems on gun-control. Even this pro-gun website admits that you can't blame the holocaust on gun-control. 
 
 ""The simple conclusion is that there are no lessons about the efficacy of gun control to be learned from the Germany of the first half of this century. It is all too easy to forget the seductive allure that fascism presented to all the West, bogged down in economic and social morass. What must be remembered is that the Nazis were master manipulators of popular emotion and sentiment, and were disdainful of people thinking for themselves. There is the danger to which we should pay great heed. Not fanciful stories about Nazi's seizing guns."" 
 http://www.guncite.com/gun_control_gcnazimyth.html","So do you want to argue my points or do you want to argue me? Which of my bullits are wrong? Which of them are right?",0
"4129","by gun nut logic children should be able to tote guns around at school because it wont make a difference because if they really wanted to kill each other, theyll just find another way to do it if they dont got guns because you know what guns dont kill people, people kill people!","You know Brady, you've said a lot of stupid stuff over the years. I even remember finding a post of yours where you said all guns and gun owners should be registered, but sex offenders shouldn't be. 
 
 This latest post of yours is just another senseless and stupid rambling of somebody that's so hateful and fearful of an inanimate object that it's impossible for him to function in our society and can barely handle his own needs.",0
"8060","Perhaps the most enduring factoid of the gun prohibition movement is that a person with a gun in the home is 43 times as likely to shoot someone in the family as to shoot a criminal. This ""43 times"" figure is the all-time favorite factoid of the gun-prohibition lobby. It's not really true, but it does tell us a lot about the gun-prohibition mindset. 
 
 The source of the 43-to-1 ratio is a study of firearm deaths in Seattle homes, conducted by doctors Arthur L. Kellermann and Donald T. Reay (""Protection or Peril?: An Analysis of Firearm-Related Deaths in the Home,"" New England Journal of Medicine, 1986). Kellerman and Reay totaled up the numbers of firearms murders, suicides, and fatal accidents, and then compared that number to the number of firearm deaths that were classified as justifiable homicides. The ratio of murder, suicide, and accidental death to the justifiable homicides was 43 to 1. 
 
 This is what the anti-gun lobbies call ""scientific"" proof that people (except government employees and security guards) should not have guns. 
 
 Of the gun deaths in the home, the vast majority are suicides. In the 43-to-1 figure, suicides account for nearly all the 43 unjustifiable deaths. 
 
 Counting a gun suicide as part of the increased risk of having a gun in the home is appropriate only if the presence of a gun facilitates a ""successful"" suicide that would not otherwise occur. But most research suggests that guns do not cause suicide. 
 In the book Point Blank: Guns and Violence in America, Florida State University criminologist Gary Kleck analyzed suicide data for every America city with a population more than 100,000, and found no evidence that any form of gun control (including handgun prohibition) had an effect on the total suicide rate. Gun control did sometimes reduce gun suicide, but not overall suicide. 
 
 ....
 
 But just as many other people who would commit suicide with a gun would use an equally lethal method if guns are unavailable. Many of the people who kill themselves in firearm accidents may also be bent on destruction, regardless of the means. One study of gun-accident victims found that they were ""disproportionately involved in other accidents, violent crime, and heavy drinking."" (Philip Cook, ""The Role of Firearms in Violent Crime: An Interpretative Review of the Literature,"" in Criminal Violence). 
 
 Or, as another researcher put it, ""The psychological profile of the accident-prone suggests the same kind of aggressiveness shown by most murderers."" (Roger Lane, ""On the Social Meaning of Homicide Trends in America,"" in Violence in America, Vol. I, 1989.)","You know, Philip Cook. The famous Anti-gun researcher.",0
"846","Furthermore, law abiding citizens can sell their guns to criminals in private transactions. In these transactions, the purchaser is not required to pass a background check so how can the seller be sure whether or not the buyer has a criminal history?","So ban guns? That is like curing the headache by cutting off the head. Why not make it a crime to sell a gun privately. Perhaps make it a legal requirement to go to a licensed firearms dealer who at no charge to the parties other than the cost of the background check run the potential buyer through the database. I would certainly be willing to do this. As a responsible gun owner, I would hate to think that the firearm I was going to sell to someone might be going to a felon, or someone likely to use it to commit a crime.",0
"2998","The way to do it is to pass stricter gun-control laws.","And what're you going to do when a criminal says ""F**k you and your gun control, it's not gonna keep me from getting a gun if I want one""?",0
"2283","The fact is, we all constantly face the threat of potential harm every minute of every day. Risk is a part of living. I would like to know why guns specifically are needed to mitigate the risk of being the victim of a crime, when other methods (better locks, alarms, non-lethal weapons like pepper spray and tasers) can be effective.","Because guns are the best method available on the market. Settling for second best when you could have the best is just stupid.
 
 Better locks? The best they'll do is slow down the person seeking to harm you, their effectiveness is contingent on the strength of the door they're on.
 
 Alarms? So somebody will know that you're in danger, what then? That won't get the police there any faster than dialing 911.
 
 Non-lethal weapons? Somethings non-lethal is a non-option. Brandishing a can of pepper spray won't cause an attacker to flee for their life, it won't hold them at bay until the police arrive to arrest them, it won't stop a violent individual from across the room, and it sure as hell won't affect somebody that's doped up on narcotics. 
 
 And stun guns are more useless than knives, because as I've said before, you need to get right up against your attacker to use them. You have to get within stabbing distance to shock them, do you really want that to be your best option for protecting yourself? The idea is to keep the bad guy away from you, not let them get right next to you.
 
 All of these non-lethal devices, they set up the false notion that the life of a criminal intent on hurting or possibly killing you, is worth more than your own life. That belief is stupid and should be done away with. Ask any woman that's ever been raped if they feel that their attacker deserves to live more than they do.",0
"8904","maybe repealing the assault weapons ban wasnt such a good idea
 
 do I hear some gun nuts saying oops","So let's see...it's already illegal for an ex-con to be in possession of any kind of a firearm, and you're saying that the banning of particular cosmetic features on a firearm would have somehow stopped this from happening?
 
 How come you haven't gotten back to me about the North Hollywood Shootout of 1997? Why haven't you confronted the fact that the AWB did nothing to stop two criminals armed with AK-47s from holding the entire California police force at bay?
 
 I don't know who's stupider, you or Galileo. What you're suggesting is like trying to stop bank robberies by banning the wearing of ski masks.",0
"6991","a childish ""psychopant"" ???? emoticon_confusedemoticon_confusedemoticon_confused
 
 what is that? pants for psychos? do you wear a pair then ?","I think he meant a sycophant.",0
"7208","Cuts off man's hand, lacerates his upper body, police say
 
 BALTIMORE - A Johns Hopkins University student armed with a samurai sword killed a suspected burglar in a garage behind his off-campus home early Tuesday, hours after someone broke in and stole electronics.
 
 Some shocked neighbors said they heard bloodcurdling screams in an area just blocks from the university. Police held the student, a junior chemistry major who turns 21 on Sunday, for several hours, but no charges were filed by early afternoon, said police spokesman Anthony Guglielmi.","Oh, if we only had the requisite absolute civilian gun bans, sick things like this would never happen! Huh Brady?",0
"9156","Teaching students to be responsible!
 What a crime!
 Next youll be whining about students getting kicked off the team because they had drugs off campus!","That doesn't teach (here is the topic braille) student athletes anything, it is discrimination and violation of their 2A rights.
 
 Drugs are just a strawman. Strike three!",0
"8528","America has no reason to listen to people in the uk about gun control and now Knife control when its shockingly clear that criminals can still get any gun they want.","And yet, our instances of gun crime are much much lower per capita than yours. Hmmmmm, interesting no?",0
"2940","What did change? What exactly happened, that's the direct fault of the NRA, that allowed this to happen?","Well by that logic, why wasn't the Brady campaign, police, or law there to save them?",0
"7966","Nuclear weapons argument is moot. There is only one vendor in this country. You or anyone else does not have the right to make a vendor sell their private property against thier will. The only vendor in this country will not sell nuclear weapons to anyone other than the Department of Defense. The only vendor in this country is quite happy having only one customer. Until you can find a vendor, the nuclear weapons argument is just useless chit chat.","So if I did find a vender, then what would you say? Why do we prevent the importation of weapons grade plutonium? Shouldn't that be protected under the second amendment? Why doesn't the government allow people to produce nucleur weapons? If the government suddenly stopped all production of guns except those that were sold to the Department of defense, would it suddenly make this arguement moot?",0
"2132","Bigotry assumes many forms, hides behind many facades, but always it is the same; the social demonization of entire groups, classes or races of people in an effort to make them appear inferior and detrimental by their very existence.
 
 In the wake of a nasty multiple shooting at a Pittsburgh, PA-area fitness club by a not-so-clearly psychotic man identified as George Sodini, America&#8217;s gun prohibitionists &#8211; led by the Violence Policy Center and Freedom States Alliance &#8211; are clamoring for restrictions or repeal of concealed carry statutes.
 
 In the case against legally-armed citizens, the VPC has even manufactured an innuendo-riddled &#8220;study&#8221; to support their prejudices. My colleague, Cleveland Gun Rights Examiner Daniel White, writes about the shooting here.
 
 Their hardly subliminal argument appears to be that citizens licensed to carry concealed handguns for personal protection are a threat to the community. This contention is based on six shooting incidents over the past couple of years in which the gunman had, or apparently had, a carry permit.
 ....","Anti-gunners. Why do you HATE our Constitutions Bill of Rights? Why do you persecute people who can pass a background check not only once, but every time they purchase a new gun? You told America that this would satisfy you, when this new law was proposed! But NO! You demonize us anyway! We prove our lawfulness not only when we purchase a new gun, but also CCW people have to pass another background check when they apply for a Concealed Handgun License, then take a test and classes to boot?
 
   We already have 22 to 30 thousand gun laws.  When are you going to be reasonable?
 
 So what's the deal? Why do you HATE America so much? Why do you HATE us law-abiding people who keep our noses clean all of our lives? Heck, I am 62 and have never run afoul of our laws. Do you think we are going to start now? 
 
 Descent and public discourse is fine, but I surely hope you folks are not planning violence against our Great and Unique Country! You often sound like it is possible when you complain incessantly about our Constitution, our Rights and the laws of this nation governing the peaceful use and ownership of firearms.",0
"7992","No, I doubt it would. Intent to deceive vanishes.","And how would you ensure that there aren't any innocent victims of paperwork errors? Are you gonna have the laws specifically spell this out?",0
"639","We explained to you (more than once) that federal law (which says otherwise) always trumps local law.","but there is no federal law that says children cant tote around guns their parents own
 
 how many times do I have to explain it you",0
"4161","This is no different than the discredited Kellerman study!","Oh sure there is! I bet this one was printed on recycled paper. ;)",0
