"","quote_text","response_text","relation"
"8692","2) Larger budget for law enforcement for persecution of firearm offenders. No larger budget for law enforecemnt + unconstitutional gun laws on the same bill before Congress.","Smaller budget for law enforcment.. Stop the so-called war on drugs. Disband the DEA, the BATFE, Have the FBI do these things on a very minor scale. 
 
 REPEAL LAWS FOR MALA IN PROHIBITA CRIMES!
 
 Shift the responsibility to the individual.
 
 REALEASE NON VIOLENT DRUG OFFENDERS!
 
 Liberty encompases all people in all passions even if we disprove of thier PERSONAL behavior.",1
"4319","Assuredly, a very high state of being constantly afraid.","Oh joy another drive by with absolutely no proof or evidence.",1
"1374","It's funny, there are gun-restrictions in Sweden and I have not been rounded up and exterminated yet. Must simply be a matter of time...
 Honestly, Those arguments are totaly worthless.
 
 
 
 Compare the rate of criminality and murders in US and those of the average contries with gun-bans. Where do you think it's highest?","And so you have it... Socialist lunatic fringe view that human lives are only worth what the government says its worth....",1
"3176","I'd find it interesting to discover how many of those 58,000 were looking at very long and serious sentences, but were given a plea deal for reduced charges.","Get back to us on that.",1
"2296","[the revolt] ended when the poorly-armed and supplied resistance was crushed by the German troops
 
 ...
 
 Approximately 13,000 Jewish residents were killed during the uprising (some 6,000 among them were burnt alive or died from smoke inhalation). Of the remaining 50,000 inhabitants, most were captured and shipped to concentration and extermination camps, in particular to Treblinka.
 
 ...
 
 According to the Stroop's report, his forces suffered 16 killed in action and 86 wounded (these figures included over 60 members of Waffen-SS, and did not include the Jewish collaborators). The real number of German losses, however, may be well higher if unknown. For the propaganda purposes, official German casualties were claimed to be only few wounded and none killed, while the Polish underground bulletins claimed that hundreds of Nazis died in the fighting.","Even if 'hundreds of Nazis' died, the outcome of the Uprising was a complete victory for the German armed forces.",1
"6007","""If the Supreme Court were to recognize a right to bear arms, however, the police could no longer stop and frisk people who would merely be exercising a constitutional right.","You know what? I don't care if it ties the hands the police behinds their backs, puts a ball gag in their mouth and a bag over their heads, and dumps them by the side of the road like garbage! We don't live in a police state. The powers of the police must come second to the rights of the people. Otherwise you're basically saying that the police should have the power to carry out warrantless searches of your home and private property, without reasonable suspicion and without justification. Under your standard the police should be allowed to break down your door in the middle of the night, destroy your home in their quest for evidence of some wrongdoing, and if they find nothing then you have no legal recourse over the destruction of private property.
 
 The police work for we the people. Our taxes pay their salaries. They shouldn't be allowed to exercise total control over us. Such standards creates a nation of fear and distrust that breeds resentment for authority, and is the leading cause of the creation of cop killers.",1
"3516","The Daily Beacon
 
 
 
 There's absolutely no way in hell this could be legal in any sense. That California school got ***** slapped for expelling a student who had a gun off campus, beyond the jurisdictional reach of the school. So how can this school believe they can get away with such an insane policy?","You mean a redneck U is banning guns? XXX? ;)",1
"2318","It has been addressed several times on this forum and the best evidence available shows that effect B is greater than C.","Really, with C being between 1/2 and 2 million defensive gun uses per year. Or perhaps the hundreds of millions of legal, non-defense related, gun uses per year. When you compare the number times a guns are used legally to the number of times they are used illegally, B becomes pretty insignificant.",1
"6578","Thats not the question we need to ask. We should be asking ""Would I have done the same thing, given that situation?""
 
 If enough people answer yes, it is deemed to have been a reasonable course of action.
 
 What I heard was that they had caught the guy, and had him pinned onto the floor of the train when one officer shot him at point blank range five times. Which doesn't sound reasonable to me.","so if for instance enough people think that to exterminate the Jews is good, then it has to be good? the rule of the mob rules right? emoticon_rolleyes",1
"5546","Licensing systems are very expensive to administer. Canada's experience with its full licensing and registration system, begun in December 1998, is not encouraging. The government originally estimated that the cost of licensing Canada's three million gun owners and registering their seven million guns would be $185 million [Canadian] over five years including a one-time start-up cost of $85 million [Canadian]. But, by March 2000 the Canadian Firearms Centre admitted that the system had already cost Canadian taxpayers $327 million [Canadian] and was running up an annual bill nearly 10 times higher than the government's original forecast. The March announcement also revealed that although 270,000 valid licenses existed from the country's earlier gun control system, only 142,000 new licenses had been issued. Using these figures as a baseline for America's arsenal of 65 million handguns, the estimated cost of such a system here is staggering.
 
 Most importantly, licensing and registration in America would have little effect on the vast majority of gun violence, such as unintentional gunshot deaths, suicides and the majority of homicides, since most homicides are the result of arguments between people who know each other and who purchase guns legally.
 
 From a political perspective, a battle over licensing and registration brings every gun owner into the fray. The NRA argument that licensing and registration is the first step towards gun confiscation has always been very persuasive with gun owners. In contrast, health and safety regulation of the industry focuses on the conduct of firearm manufacturers. 
 
 Advocates of licensing and registration often cite automobiles as an example of the value of licensing and registration: we register automobiles and license drivers, so why not guns? However, licensing and registration-the primary purpose of which was to enforce a system of taxation-had virtually no effect on automobile death and injury. It was not until the National Highway Traffic and Safety Administration was established in the 1960s, and changes were forced in automobile design and the driving environment, that decreases were seen.","Canada's registry has had horrific problems, only registering 3/4ths of their 7 million guns, and has been hacked more times than Lizzie Borden's parents! Or George Washington's Cherry Tree for those who don't know the tale of Ms. Borden! 
  Canada Gun owners pressuring Conservatives",1
