"","quote_text","response_text","relation"
"5577","Well then this doesn't answer my question.
 
 If you have 10 doctors for 100 people (this is just an example) and only 50 of them have health insurance and each doctor gets paid $100 a year then your health care per capita is $10 ([10doctors x $100]/100 people). If you change it to 100 people with health insurance you now have $10 per capita as well because you population did not change. Health care costs are shown per capita and not per person insured: Per Capita Health Expenditures by Country, 2007 &mdash; Infoplease.com
 
 So again, if you go from $6,000 per capita per that website given above to say Switzerland levels at $4,100 per capita then where did that money come from?","Well, you have ""proved"" that the U.S. health insurance does not have any higher administrative cost than Medicare or the rest od the industrialized world. I think your problem is that you are convinced in your head that that in our healthcare there is no waste. And you are trying to square it with the obvious fact that our cost is the highest with nothing to show for it. You will have to admit that there is waste.
 
 For example we have 5x as many MRI scanners than we need, we perform too many tests, we have high adminstrative cost. All these costs will be reduced. There will be fewer of these things PER INSURED. I do not know how many times I have to repeat this before you get it. The volume of this work PER INSURED will decrease. Do you understand that?",1
"7254","And you believed every word they fed you without a second thought. At least now we know whose line you're peddling. Please, cite your sources to start with in the future. It's not just a good idea, it's the rules. emoticon_xagree","Actually, I had heard it several times on radio talk shows that normally do research before making claims. I then read it on several sites that cited the U.S. Census Records as their source. Since the radio shows and the websites all credited the U.S.Census, I perceived that they could not have made it up...since they all matched within acceptable tolerances. It does seem reasonable to you that such information could be gleaned from the census data...does it not?
 
 Will you agree that what they say is true?",1
"1377","The President hates his country! It's so obvious! How did nobody notice till now!emoticon_rolleyes","He may not hate it, but he sure does some strange things WRT it. For example: his World Apology Tour 2009. emoticon_rolleyes",1
"4429","US big business happened to it. Next question? :)","And here is what you get when the Government gets a hold of it.
 
 Premature baby 'left to die' by doctors after mother gives birth just two days before 22-week care limit | Mail Online",1
"4467","5 panelists doesn't equal the opinion of all health professionals.","Just, at the very least, 60% of American physicians. Then there are all those nurses, radiologists, lab technicians, ambulance drivers, medics, emergency room people, etc etc etc ...
 
 Not to mention the majority of the American public.",1
"8106","For I was an hungred, and ye gave me meat: I was thirsty, and ye gave me drink: I was a stranger, and ye took me in:
 
 Naked, and ye clothed me: I was sick, and ye visited me: I was in prison, and ye came unto me.","Interesting that Jesus does not say, ""This do, only after you have determined whether or not I am an illegal, or whether or not the reason why I am homeless is a reason that satisfied you.
 
 I am sorry that someone near to you was attacked. I do not believe that the attack occurred simply because the attacker was illegal.
 
 As a matter of fact, all such attacks are illegal, unlawful, whether perpetrated by an ""illegal"" or anyone else. I hope that the attacker was brought to justice and punished.",1
"5120","You are correct. I have been waiting 9 months for a hip replacement (hip injured in an accident nearly 2 years ago) because my HMO requires a year of ""active monitoring"", which apparently consists of monthly doctors appointments while we wait for a miracle. 
 
 .","According to a report published last year, the average waiting time for a hip replacement in the UK would be about 10 months. This average of course conceals large county and metropolitan variations (from one National Health Service Trust to another). A lot depends on where you live.
 
 At least you'd get the operation for free in this country.",1
"2112","In theory the preventative care provided would allow us to catch conditions sooner, resulting in decreased utilization of hospitals, specialists, and equipment.","Well this doesn't answer my question though. With this bill, where is the money coming from? Are we cutting doctors jobs? I hate to use a Krugman thing but this looks like an ""underpants gnomes"" theory.
 
 1) Pass Senate Bill
 2) ???????
 3) Save $3,000 per capita.",1
"1076","The Queen doesn't allow them to get sick. ;)","And you are on intimate terms with the Queen, eh? emoticon_xdonno
 
 By the way, what is it exactly that that little thingy above signifies?
 
 I hope I have used the right emotive whatchamacallit.",1
"5285","If you build a coverage mandate, will they come?
 By Alec MacGillis
 Washington Post Staff Writer 
 Monday, October 26, 2009 
 People are more likely to buckle their seat belt than follow the speed limit, even though the penalties for speeding are higher. They are more likely to go along with hotel efforts to reduce linen laundry if told that other guests are doing the same. 
 And the question of whether people will follow a government order that they carry health insurance -- an issue that will help determine whether universal health care is a success or costly failure -- will depend on more than the penalty they would pay for refusing, many economists say. This, they say, is the lesson of behavioral economics, a school of thought that holds that people do not necessarily make decisions out of well-reasoned self-interest. It is an approach that has gained a powerful foothold in the Obama White House. 
 ""We're human. And there are lots of other influences that go into what we do,"" said Kenneth Baer, a spokesman for the Office of Management and Budget. ""One of the most important insights of behavioral economics is that we're not all rational maximizers calculating our cost and benefits and doing things like a computer."" 
 As the proposed $900 billion health-care legislation inches toward the finish line, a critical unknown is whether people would comply with a mandate on individuals to carry insurance, one of the Democrats' primary tools to significantly increase the number of Americans who have coverage. The Senate Finance Committee, whose bill has dominated much of the recent debate, set its maximum penalty for noncompliance at $750 per year, at the same time creating subsidies to help low-income Americans buy coverage. In the House, the penalty is based on income, but works out to about the same for a middle-class family. 
 ......
 As the behavioral economists see it, compliance will depend not only on the penalties and cost of coverage, but also on the ease of signing up for coverage and whether people can be persuaded that it is a widely accepted social norm. They point to the large number of eligible people who fail to take advantage of Medicaid, food stamps and Pell grants as a sign that perceived inconvenience can keep people from taking steps in their economic interest. By contrast, the Medicare drug benefit program has achieved high enrollment partly because low-income Medicare recipients did not need to apply for subsidies if they already qualified for Medicaid. 
 ""Non-financial things matter. . . . When the choice itself is complicated, it can deter people from making choices,"" said William J. Congdon of the Brookings Institution. ""The small hassles associated with taking up programs -- driving to an office, filling out a form -- have a disproportionate effect in discouraging people."" 
 The record of mandates is mixed, according to research done by Sherry Glied, a Columbia University professor of health policy who has been nominated for a position in the administration. The rates of people buying car insurance, for example, vary among states and do not correlate directly with the size of penalties for going without insurance. Overall, she found, mandates work best when compliance is relatively easy and affordable, when penalties are ""stiff but not excessive,"" and when enforcement is prompt and routine. 
 The thinking is that people tend to settle for the default option -- in the most oft-cited example, people are far more likely to participate in a 401(k) savings plan at work if they are automatically enrolled in it, with the choice of opting out. OMB Director Peter Orszag has done research on that point, and Cass R. Sunstein, the director of the White House Office of Information and Regulatory Affairs, featured it in ""Nudge,"" the 2008 popularization of behavioral theory that he co-authored. 
 Some experts argue against setting up an equivalent default enrollment for health insurance, since it would require spending money and choosing an insurer. But others, including one of the behavioral economists hired by Orszag, Harvard University's Sendhil Mullainathan, have argued for using the tax system to collect automatic payments for health premiums. washingtonpost.com","So much for choice. Obama's little socialist minions want to use the tax system to collect healthcare premiums if you don't comply. After all, getting employers to collect income taxes before you even see your money has worked for these leeches in the past. :xcensored",1
